genome	completeness	contamination	quality	5S_rRNA	SSU_rRNA	LSU_rRNA	tRNA	MIMAG_quality	GC	N50	size	gtdb.tax	ncbi.tax	LDA.group	LDA.score	LDA.p	AMO	HAO	NXR	NAP	NAR	NAS	NIR	PPK1	PPK2	PPX	protein.num	Cd_O_coverM	Ni_O_coverM	Cr_O_coverM	Cd_L_1_coverM	Cd_L_2_coverM	Cd_L_3_coverM	Cd_M_1_coverM	Cd_M_2_coverM	Cd_M_3_coverM	Cd_H_1_coverM	Cd_H_2_coverM	Cd_H_3_coverM	Ni_L_1_coverM	Ni_L_2_coverM	Ni_L_3_coverM	Ni_M_1_coverM	Ni_M_2_coverM	Ni_M_3_coverM	Ni_H_1_coverM	Ni_H_2_coverM	Ni_H_3_coverM	Cr_L_1_coverM	Cr_L_2_coverM	Cr_L_3_coverM	Cr_M_1_coverM	Cr_M_2_coverM	Cr_M_3_coverM	Cr_H_1_coverM	Cr_H_2_coverM	Cr_H_3_coverM	CK_1_coverM	CK_2_coverM	CK_3_coverM	s6_coverM	s14_coverM	s15_coverM	s26_coverM	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3	s6	s14	s15	s26
MAG-11	97.97	2.732	84.31	Present	Present	Present	21	High	0.626	61489	8804904	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11320;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	-	-	-	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	0	0.13864078	0.17043169	0.11842907	0.09452626	0.08384214	0.0866428	0.00916251	0.01012643	0.010225585	0.001620853	0.001523373	0.001555702	0.022757456	0.023021406	0.022903442	0.001028035	9.86E-04	8.75E-04	9.98E-05	0	0	0.34064656	0.1832875	0.18294872	0.17320164	0.13357669	0.13195108	0.023714859	0.021916745	0.021706453	0.015792958	0.11999305	0.07983423	0.0347007	0.10422285	0.024113994	0.15062171	6.094534	8.134993	5.059044	3.168878	2.914268	3.092286	0.289787	0.343023	0.351406	0.059102	0.058406	0.056311	0.707004	0.760482	0.731445	0.037463	0.040322	0.032287	0	0	0	11.75598	7.002763	6.815191	5.506712	4.519273	4.348854	0.673949	0.69482	0.715694	0.925019	4.40304	2.44012	1.167484	3.325419	0.784207	6.119408
MAG-12	99.31	0.68	95.91	Present	Present	Present	20	High	0.641	79312	6547602	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	CK	3.347774538	0.001197903	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	0	0.08559254	0.36057407	0.15122707	0.011197895	0.012044434	0.011953669	0.001303242	0.001589915	0.001458258	2.88E-04	3.32E-04	2.60E-04	0.002769809	0.002617083	0.002817836	0.001820182	0.0016376	0.001770681	5.46E-04	5.08E-04	5.43E-04	4.56E-04	4.62E-04	4.32E-04	4.40E-04	3.96E-04	3.88E-04	6.39E-04	6.90E-04	6.55E-04	0.33197144	0.8454039	0.032223143	3.06E-04	0.009974336	0.003648662	0.002929242	3.605093	16.824376	6.301731	0.384541	0.424725	0.432392	0.046781	0.056924	0.053792	0.012218	0.011802	0.00476	0.077693	0.077468	0.081088	0.037839	0.041601	0.041411	0.005682	0.006485	0.005571	0.024812	0.019975	0.0192	0.026744	0.014345	0.021042	0.014318	0.010721	0.012396	18.37609	30.473166	1.017857	0.009037	0.335149	0.107377	0.127296
MAG-13	99.31	2.04	89.11	Present	Present	Present	20	High	0.625	119079	6488856	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__	CK	3.472931233	0.004414603	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	0	0.5468507	0.926051	0.29253736	0.013622876	0.017896717	0.016787436	8.48E-04	0.001149362	0.001064539	3.92E-04	3.38E-04	2.92E-04	0.01632097	0.016453179	0.016726816	0.001027318	0.001205345	0.0012609	2.54E-04	3.54E-04	3.01E-04	0.003378556	0.00405041	0.003856655	0.002794315	0.00310032	0.00281873	0.00225402	0.002094204	0.002024333	0.44707957	0.18800627	0.003267467	0.005070442	0.002255666	0.002199501	0.001186389	24.121971	44.067987	12.212701	0.490976	0.648183	0.616963	0.03831	0.04488	0.043359	0.017951	0.012067	0.017766	0.557052	0.602158	0.588737	0.03283	0.053327	0.04666	0.007574	0.014929	0.0091	0.123841	0.164874	0.140982	0.09139	0.115445	0.101456	0.072339	0.074368	0.066599	24.739182	6.554573	0.116408	0.174553	0.086058	0.083082	0.054261
MAG-14	96.49	3.859	77.195	Present	Present	Present	19	High	0.621	32684	4708304	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	0	0.024439069	0.031463824	0.032969534	0.021939376	0.02441026	0.024358172	0.13289012	0.18682753	0.18772356	0.138965	0.13374442	0.13262664	0.002086984	0.002076455	0.002094995	0.004147313	0.003546275	0.003593549	1.51E-04	1.60E-04	1.71E-04	0.001706184	0.004012589	0.003803066	0.001150349	0.001145898	0.001210943	3.90E-04	3.95E-04	3.07E-04	0.029589491	0.018510045	0.004571563	0.0048081	0.00594247	0.003709569	0.005459956	1.120965	1.509202	1.425588	0.711409	0.861361	0.839437	4.039096	6.067687	6.290819	5.137864	5.192512	5.159383	0.029456	0.0345	0.025479	0.026294	0.023828	0.027633	0	0	0	0.048175	0.130323	0.124942	0.034804	0.025119	0.027512	0.009246	0.009325	0	1.671564	0.629907	0.115394	0.1610895	0.180868	0.069815	0.169447
MAG-15	98.63	5.235	72.455	Present	Present	Present	20	Medium	0.611	99494	6761549	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	0	0.015195997	0.016357465	0.020729616	0.07186928	0.074487396	0.07478402	0.01725663	0.021518044	0.021289473	0.002513324	0.002395571	0.002369866	0.72585404	0.7598371	0.77752423	2.555331	1.9999173	2.0344028	0.002359781	0.001932049	0.001907582	0.052156925	0.12580621	0.12445623	0.05024966	0.05910312	0.060005303	0.003861282	0.003291581	0.003193516	0.013424972	0.15594073	0.15065546	0.021509007	0.01851197	1.3318055	0.058802538	0.597984	0.678187	0.800985	2.262867	2.355727	2.433799	0.46506	0.560108	0.619225	0.026999	0.031738	0.027718	22.448202	24.740758	24.556318	83.941115	75.169845	74.02011	0.05313	0.040391	0.036329	1.686136	4.299855	4.29735	1.526475	1.877379	1.848074	0.108273	0.098415	0.091749	0.687287	5.007154	4.276754	0.664994	0.445167	42.270347	2.404755
MAG-16	73.5	2.04	63.3	Present	Present	Present	17	Medium	0.623	4168	4702281	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	1	0.006894113	0.009232946	0.009201271	0.009559467	0.00975134	0.009566982	0.031705063	0.031810984	0.03123254	5.17E-04	5.44E-04	4.19E-04	0.001994043	0.002022772	0.001962478	0.003807948	0.003291452	0.003362235	0	0	0	0.003416586	0.00838085	0.008451712	0.002855404	0.003479558	0.003494169	4.52E-04	4.90E-04	4.79E-04	0.004573643	0.25869295	0.16042301	0.003006529	0.006688386	0.006265638	0.015488514	0.2490375	0.412514	0.3259815	0.175142	0.151292	0.1542	0.964955	1.04097	1.026466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.640586	5.083789	0	0.179478	0.1041165	0.2474255
MAG-17	97.95	1.7	89.45	Present	Present	Present	20	High	0.56	182726	6495270	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	Cd	2.976446947	4.07E-05	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	0	0.004035336	0.002358428	0.001092773	0.24401605	0.27858326	0.282476	0.043794822	0.05663507	0.056917123	0.006782064	0.007059708	0.006947601	8.14E-04	8.44E-04	9.06E-04	0.01137946	0.018622223	0.019752432	0.002922769	0.002164756	0.00225445	4.71E-04	8.01E-04	8.63E-04	4.62E-04	5.71E-04	5.27E-04	1.74E-04	2.04E-04	0	0.002441226	0.14672367	0.08775586	3.34E-04	0.6898922	0.07830949	0.003472266	0.151116	0.10996	0.048829	8.061642	9.683204	9.913437	1.329988	1.82643	1.904694	0.235611	0.281348	0.260365	0.012496	0.012676	0.011084	0.323971	0.650027	0.64882	0.098149	0.077959	0.076326	0.010953	0.01272	0.018317	0.010959	0.006874	0.010339	0.001442	0	0.002144	0.124082	5.332244	2.656918	0.006648	21.555499	2.413734	0.122542
MAG-18	98.92	2.38	87.02	Absent	Present	Present	20	Medium	0.599	239442	6739639	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	0	0.15600917	0.059458744	0.10123361	0.18981263	0.21531418	0.21370943	0.001447302	0.00203999	0.001913892	0.001398235	0.001188154	0.001207128	6.29E-04	7.27E-04	7.78E-04	0.001577854	0.001151959	0.001284384	0	0	0	9.87E-04	0.001917274	0.001799029	0.001155121	0.00104272	9.02E-04	4.40E-04	4.32E-04	2.94E-04	0.15314089	0.37788987	0.002137375	9.93E-04	0.001157241	0.005034522	0.001759563	6.945323	2.896466	4.285663	6.309351	7.44481	7.564394	0.020796	0.023244	0.027609	0.003806	0.006622	0.006778	0.013664	0.022904	0.020446	0.015534	0.017264	0.018398	0.003429	0.003457	0.002256	0.032814	0.044726	0.038412	0.034725	0.027764	0.027445	0.01945	0.019887	0.013563	8.657917	13.818041	0.060717	0.033587	0.043374	0.151481	0.07564
MAG-19	89.77	3.409	72.725	Absent	Absent	Absent	20	Medium	0.753	11557	4909343	d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__;f__;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__;f__;g__;s__	CK	2.872217487	1.48E-05	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	0	0.032477286	0.012969137	0.07110662	0.00124374	0.001174567	0.001247327	5.86E-04	6.14E-04	5.94E-04	2.86E-04	2.98E-04	3.29E-04	7.73E-04	7.32E-04	6.63E-04	0.004742798	0.004140161	0.003743692	0.001024973	8.87E-04	0.001026092	0.001146833	0.00144278	0.001510544	0.001013998	0.001134349	0.001054128	0.001145225	0.001146893	0.001252085	0.055195186	0.05900025	0.32651222	0.002956725	7.33E-04	0.015793426	0.10363881	1.524414	0.627664	3.181508	0	0	0	0	0	0	0	0	0	0	0	0	0.151496	0.143505	0.133043	0.019966	0	0	0	0	0	0	0	0	0	0	0	3.140591	2.210371	10.191431	0.086275	0	0.506388	4.201363
MAG-20	96.59	2.272	85.23	Absent	Absent	Absent	21	Medium	0.7	28800	5499328	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__	d__Bacteria;p__Planctomycetes;c__;o__;f__;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	0	0.01488428	0.017523183	0.016305078	0.020737955	0.020005817	0.018923571	0.011233321	0.007289866	0.006872424	4.89E-04	4.90E-04	4.37E-04	0.26651087	0.26302835	0.25532538	0.002220365	0.001987416	0.001783303	2.69E-04	0	2.89E-04	7.62E-04	9.56E-04	8.29E-04	7.49E-04	6.57E-04	7.48E-04	3.69E-04	3.37E-04	3.19E-04	0.010020209	0.016491082	0.001126816	9.30E-04	0.00826963	0.010707076	9.27E-04	0.59282	0.755899	0.684529	0.679015	0.695372	0.658675	0.337275	0.218585	0.207642	0	0	0	8.310106	8.692899	8.084214	0.069668	0.068772	0.0631195	0	0	0	0	0	0	0	0	0	0	0	0	0.509385	0.62434	0.044894	0.005167	0.264089	0.344712	0.036384
