"SUID","EnrichmentMap::Colouring (Cd2CK_egg_go_ko)","EnrichmentMap::ES (Cd2CK_egg_go_ko)","EnrichmentMap::fdr_qvalue (Cd2CK_egg_go_ko)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (Cd2CK_egg_go_ko)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Cd2CK_egg_go_ko)","EnrichmentMap::pvalue (Cd2CK_egg_go_ko)","name","selected","shared name"
"3840","0.9991","0.7673","0.0764","K02012
","0.2604","ACI92254.1|WP_011286821.1|WP_027459002.1|OGA32853.1|OHC62478.1|TEX49636.1|WP_006162812.1|KFB75252.1|WP_066886845.1|PKO30612.1|PTM61126.1|RIX43534.1|WP_012206542.1|WP_083506166.1|WP_038304535.1|WP_128903083.1|PKO58144.1|WP_119046367.1","afuA, fbpA; iron(III) transport system substrate-binding protein","18","ENR","K02012","1.7835","9.0E-4","K02012","false","K02012"
"3841","-1.0","-0.5499","0.0316","GO:0005509
","0.4455","RZJ15583.1|WP_012202078.1|RYY46900.1|WP_086099144.1|RYD98326.1|OQW80865.1|WP_020084077.1|KFB74111.1|WP_062354818.1|PLX75252.1|RTL38232.1|KFB77230.1|WP_107802196.1|OAN45588.1|WP_014428125.1|WP_132427270.1|WP_054020873.1|WP_110399427.1|WP_119770394.1|WP_009553533.1|WP_078815324.1|WP_056242747.1|WP_108411044.1|WP_056017536.1|KFB78383.1|PZO30252.1|WP_056067606.1|WP_062354954.1|AAM18567.1|WP_066882668.1|PKO86510.1|WP_076390919.1|RIX45053.1|TAH12050.1|WP_119783747.1|TAG09552.1|WP_004305194.1|RTL35821.1|EGK69921.1|WP_088178900.1|WP_002923543.1|WP_020087439.1|SMB26997.1|KFB67148.1|WP_008060415.1|WP_018411050.1|KFB76138.1|CCG96484.1|WP_083567731.1|WP_026781577.1|WP_043742265.1|WP_013215831.1|TAM43965.1|WP_011766701.1|WP_019918667.1|OUV02704.1|RTK98152.1|PKP86951.1|WP_020087477.1|WP_027457891.1|KFB78193.1|WP_066336621.1|WP_072396215.1|WP_079433304.1|WP_088177840.1|PZU54559.1|WP_066155737.1|TEX44200.1|WP_086926796.1|WP_110523532.1|PZU55555.1","calcium ion binding","71","ENR","GO:0005509","-1.7845","0.0","GO:0005509","false","GO:0005509"
"3842","0.9899","0.5942","0.109","1MUCV
","0.9932","ODS73451.1|WP_078307178.1|PKO26120.1|WP_106748007.1|OYZ55106.1|WP_014235482.1|OIP11335.1|WP_028485245.1|WP_067758259.1|WP_106825664.1|TAG83693.1|OGI46044.1|WP_061498192.1|WP_043946424.1|WP_012695740.1|PJI37961.1|WP_136555888.1|PKM03356.1|WP_108427913.1|WP_004343146.1|WP_012202327.1|WP_016453856.1|WP_028770765.1|WP_076604510.1|PKO29730.1|WP_108949537.1|PZQ20981.1|TEX49225.1|KFB69210.1|WP_058531626.1|KLT21213.1|ALD91789.1","Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome","32","ENR","1MUCV","1.5675","0.0101","1MUCV","false","1MUCV"
"3843","0.9035","0.5872","0.2488","K02933
","1.0","RZI44886.1|RTL23085.1|WP_090319415.1|WP_035933059.1|WP_013804444.1|WP_096449278.1|RTL34219.1|WP_027456663.1|OFZ98106.1|WP_099407143.1|OAI54434.1|PKO26483.1|EXI90846.1|RIX49058.1|KFB78314.1|WP_004298446.1|WP_015437569.1|WP_106748024.1","RP-L6, MRPL6, rplF; large subunit ribosomal protein L6","18","ENR","K02933","1.3597","0.0965","K02933","false","K02933"
"3844","-0.9998","-0.6881","0.021","K00239
","0.178","WP_058935375.1|WP_015766859.1|EXI68687.1|EXI84649.1|KFB68258.1|KFB74359.1|WP_012204345.1|WP_114467052.1|KPK19987.1|PZQ72791.1|PCJ60658.1|WP_026057405.1|WP_089883054.1|WP_126129176.1|WP_026878076.1|OGI62305.1|WP_004253524.1|WP_008059639.1|WP_014237270.1|WP_028456103.1|WP_041098684.1|WP_088179091.1|PKO56786.1|PLX76357.1|WP_102247198.1|WP_107492948.1|WP_110524745.1|WP_121241512.1|RTL37410.1","sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]","29","ENR","K00239","-1.8738","2.0E-4","K00239","false","K00239"
"3845","-0.9333","-0.5127","0.226","K01689
","1.0","WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|OLL99361.1|WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|CCL39299.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|KIF33670.1|OGW34266.1|WP_079690089.1|RUQ37377.1|KXK23501.1|ODT50015.1|WP_079446987.1|OLC74155.1","ENO, eno; enolase [EC:4.2.1.11]","27","ENR","K01689","-1.3799","0.0667","K01689","false","K01689"
"3846","-0.9939","-0.6797","0.0563","K00114
","0.7351","WP_119783747.1|RTL35821.1|EGK69921.1|WP_008060415.1|WP_083567731.1|WP_114969704.1|WP_013215831.1|WP_119770394.1|WP_011766701.1|WP_009553533.1|OUV02704.1|WP_108414187.1|WP_087656473.1|RTK98152.1|WP_056242747.1|WP_027457891.1|TEX44200.1|WP_054020873.1|WP_110399427.1|PKO86510.1","exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]","20","ENR","K00114","-1.7036","0.0061","K00114","false","K00114"
"3847","0.9463","0.6256","0.2004","K01687
","1.0","WP_011236835.1|WP_050417438.1|WP_066882891.1|WP_132249930.1|OYU48789.1|OYY58949.1|WP_041547671.1|WP_015437464.1|TCW38113.1|WP_035678795.1|WP_117607631.1|RDE50182.1|WP_007680863.1|KFB70734.1|WP_004721665.1|WP_126463609.1|WP_002931890.1","ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]","17","ENR","K01687","1.4402","0.0537","K01687","false","K01687"
"3848","0.9988","0.6935","0.0529","GO:0031071
","0.2691","KFB68274.1|RYD52665.1|WP_004365214.1|BAN35084.1|WP_076094220.1|WP_081148932.1|WP_094267892.1|PKO89627.1|WP_107491793.1|RPH44985.1|WP_124734110.1|WP_005160809.1|WP_013522392.1|WP_133594294.1|WP_133680969.1|OFZ96113.1|WP_109015333.1|WP_088812016.1|WP_035608057.1|OGA63255.1|OJX29812.1|WP_079433534.1|PHQ58449.1|PCI65220.1|WP_119632423.1|OYV35612.1|KNZ34458.1|WP_125244194.1","cysteine desulfurase activity","28","ENR","GO:0031071","1.7812","0.0012","GO:0031071","false","GO:0031071"
"3849","-0.9995","-0.664","0.0196","K15864
","0.1143","CAI06598.1|WP_004301737.1|EXI86426.1|EXI90076.1|WP_056876288.1|WP_057674903.1|WP_027459187.1|KFB69436.1|OGA45015.1|OIP10440.1|RMG33618.1|ACF98171.1|WP_050417154.1|OHC61306.1|OHC64126.1|WP_076096509.1|WP_079435145.1|WP_086912295.1|PKO56461.1|WP_108977384.1|WP_116534872.1|WP_119107391.1|RIX44719.1|TAK48549.1|TEX48909.1|EXI73901.1|WP_119964852.1|WP_133588295.1|WP_018151794.1|TDQ47100.1|WP_068491810.1|ODU56528.1|WP_137194094.1|WP_013029265.1|WP_108106829.1|WP_084721056.1","nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]","36","ENR","K15864","-1.909","5.0E-4","K15864","false","K15864"
"3850","-0.9667","-0.6396","0.1301","1RB94
","0.9963","SBT07161.1|WP_081444106.1|EXI66301.1|EXI71362.1|WP_015765720.1|EXI66302.1|EXI88854.1|EXI88855.1|KFB66910.1|KFB66912.1|KFB73571.1|KFB73572.1|KFB78005.1|WP_083768692.1|WP_012584828.1|WP_043744385.1","COG3203 Outer membrane protein (porin)","16","ENR","1RB94","-1.5256","0.0333","1RB94","false","1RB94"
"3851","0.969","0.4457","0.2499","GO:0015562
","1.0","WP_132572950.1|WP_012202432.1|EXI82354.1|WP_011764389.1|WP_119303262.1|WP_058817630.1|WP_083917467.1|OHC64350.1|WP_117607931.1|SBT04426.1|WP_081444079.1|OYY63427.1|WP_104801475.1|WP_124540844.1|ODS89253.1|TAJ60610.1|WP_024567737.1|OYT20548.1|WP_058142321.1|ODS51166.1|KFB68143.1|RTL17381.1|AOV06077.1|OJW28870.1|WP_079434731.1|WP_116535496.1|PAW66675.1|WP_012806080.1|WP_132572774.1|KFB67069.1|WP_079436223.1|WP_084019512.1|WP_079436202.1|RIX44650.1|WP_054622006.1|WP_012204759.1|PKO38843.1|WP_068173169.1|WP_062351933.1|WP_007913313.1|WP_082151508.1|WP_012203020.1|WP_014236231.1|PKO64177.1|WP_046238507.1|WP_014237668.1|WP_066880267.1|WP_088179506.1|PKO35913.1|WP_035638935.1|EXI71985.1|WP_012586304.1|WP_062357321.1|KIF30811.1|RTL27728.1|OJW81811.1|RIX44190.1|WP_121456475.1|KFB67271.1|PKO35894.1|WP_027457260.1|WP_106748402.1|PKO84695.1|WP_011288531.1|KFB68144.1|OJW35049.1|KFB67137.1|KFB78201.1|WP_027458169.1|KFB77760.1|OJW51302.1|RTL42948.1|WP_079435154.1|RIK89891.1","efflux transmembrane transporter activity","74","ENR","GO:0015562","1.3562","0.031","GO:0015562","false","GO:0015562"
"3852","0.9604","0.603","0.1916","GO:0016639
","1.0","WP_119014034.1|WP_015768580.1|WP_079434405.1|KXK23987.1|WP_010806805.1|WP_026769605.1|ABB07102.1|WP_004342699.1|WP_013801081.1|OQW83199.1|WP_027456550.1|WP_055892111.1|WP_070528401.1|WP_028453473.1|WP_108948184.1|RTL38248.1|WP_002924997.1|PIF43629.1|WP_028454485.1|WP_008904533.1|PKO33941.1|WP_121458005.1","oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor","22","ENR","GO:0016639","1.4626","0.0396","GO:0016639","false","GO:0016639"
"3853","-1.0","-0.6911","0.0183","GO:0009325
","0.0726","WP_137098945.1|WP_056197883.1|RTL46920.1|WP_087648738.1|BBG74083.1|WP_011397794.1|KFB69440.1|WP_070987526.1|WP_110258092.1|WP_092997584.1|TAL86698.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1|ODS71062.1|OGV72118.1|RTL04036.1|WP_124220621.1|WP_055423062.1|WP_054965449.1|OJY87033.1|WP_020564490.1|WP_090018893.1|WP_010463004.1|WP_012585584.1|WP_027457213.1|WP_028994809.1|WP_043820335.1|RTL24866.1|ODS95854.1","nitrate reductase complex","32","ENR","GO:0009325","-1.9413","0.0","GO:0009325","false","GO:0009325"
"3854","-0.9992","-0.6438","0.0278","COG4993
","0.311","WP_119770394.1|WP_009553533.1|WP_056242747.1|AAM18567.1|WP_066882668.1|PKO86510.1|RIX45053.1|WP_119783747.1|RTL35821.1|EGK69921.1|WP_002923543.1|WP_008060415.1|WP_018411050.1|WP_083567731.1|WP_114969704.1|WP_013215831.1|WP_011766701.1|WP_019918667.1|OUV02704.1|WP_108414187.1|WP_087656473.1|RTK98152.1|PKP86951.1|WP_020087477.1|WP_027457891.1|WP_066336621.1|WP_072396215.1|WP_079433304.1|WP_088177840.1|PZU54559.1|TEX44200.1|WP_054020873.1|WP_110399427.1","Dehydrogenase","33","ENR","COG4993","-1.8236","8.0E-4","COG4993","false","COG4993"
"3855","0.9982","0.4891","0.1098","GO:0042026
","0.9948","WP_079686058.1|WP_011633831.1|WP_062188045.1|BBG74039.1|WP_093558235.1|PZP62061.1|OGP08582.1|WP_124649802.1|WP_105506304.1|WP_106874290.1|WP_011288455.1|WP_012207006.1|WP_021006548.1|RTL42036.1|CAY85812.1|WP_004180305.1|WP_013744694.1|WP_014074409.1|WP_026687922.1|ODU92658.1|PKO45489.1|WP_120215497.1|WP_127089458.1|RYD42434.1|TIV76374.1|WP_137099209.1|WP_032112406.1|WP_034795833.1|WP_038603978.1|WP_057842829.1|OGI62592.1|OJY38051.1|OXS29522.1|WP_102246209.1|WP_127860425.1|TAJ32927.1|OFZ45950.1|PKO93389.1|WP_120048763.1|WP_127255656.1|TAK83852.1|WP_133494368.1|WP_014197822.1|WP_066134479.1|OPY01703.1|WP_112381317.1|WP_135211313.1|WP_013522138.1|WP_050526234.1|WP_008115203.1|WP_011236479.1|WP_011286192.1|WP_012207458.1|WP_015434519.1|RPF97242.1|WP_027456623.1|WP_038304811.1|WP_056109950.1|WP_062352942.1|WP_067170571.1|OGA06426.1|OGA25275.1|WP_079434226.1|OQW42457.1|WP_014203122.1|OQW82332.1|PKO36077.1|PLX71094.1|WP_056240040.1|WP_121583815.1|WP_131279024.1|WP_133857735.1|TEX44287.1|WP_135177995.1|WP_114364533.1|KFB66796.1|KFB73498.1|RDE50699.1|OLC80180.1|PYS86129.1|OGA07404.1|WP_116499074.1|KPK18212.1|RQV97328.1|ARU40517.1|RYG34809.1|WP_102648302.1|WP_134195739.1|WP_054124927.1|KMV74149.1|PSR14241.1|WP_027473956.1|WP_054018941.1|WP_119290157.1|RTL33178.1|OGW20020.1|PHX90008.1|WP_014960846.1|WP_046297296.1|PYS82967.1|WP_012353056.1|WP_010103166.1|WP_035930530.1|KIF30374.1","protein refolding","104","ENR","GO:0042026","1.5625","0.0018","GO:0042026","false","GO:0042026"
"3856","0.9989","0.4339","0.1858","GO:0006457
","1.0","WP_079686058.1|EXI68772.1|OIP08621.1|WP_124649802.1|WP_105506304.1|WP_013801021.1|WP_026685751.1|WP_011287702.1|WP_105999526.1|PKO69571.1|WP_022954472.1|WP_110524390.1|OGK20508.1|WP_011286681.1|PLY03336.1|WP_124705870.1|WP_012204423.1|WP_066101962.1|RIX43146.1|WP_028994551.1|WP_062352370.1|OUT41004.1|OMG56569.1|PKO56818.1|RLJ67726.1|WP_121242369.1|WP_069039958.1|WP_122124196.1|WP_132527257.1|WP_070528534.1|PKO37626.1|WP_004180305.1|OJU34792.1|WP_013744694.1|WP_076587825.1|WP_121583408.1|RIX41521.1|WP_076094803.1|WP_014074409.1|WP_058456194.1|WP_066879209.1|WP_079433647.1|WP_026687922.1|OHE89444.1|WP_062355009.1|ODU92658.1|WP_107220429.1|WP_002711566.1|RIX45140.1|PKO45489.1|WP_076601044.1|WP_120215497.1|WP_012204528.1|WP_127089458.1|RYD42434.1|TIV76374.1|WP_032112406.1|WP_034795833.1|WP_038603978.1|WP_057842829.1|OGI62592.1|OJY38051.1|OXS29522.1|WP_102246209.1|WP_127860425.1|TAJ32927.1|OFZ45950.1|PKO93389.1|WP_120048763.1|WP_127255656.1|TAK83852.1|WP_133494368.1|KPJ67275.1|WP_014197822.1|WP_066134479.1|OPY01703.1|WP_112381317.1|WP_135211313.1|WP_013522138.1|WP_050526234.1|WP_008115203.1|WP_011236479.1|WP_011286192.1|WP_012207458.1|WP_015434519.1|RPF97242.1|KFB67682.1|WP_027456623.1|CFX52907.1|WP_012204828.1|WP_056109950.1|WP_062352942.1|WP_067170571.1|OGA06426.1|WP_028982056.1|EXI79346.1|OGA25275.1|WP_079434226.1|OQW42457.1|KFB76181.1|WP_014203122.1|AQT67075.1|OQW82332.1|SBT09472.1|PKO36077.1|PLX71094.1|WP_056240040.1|WP_121583815.1|WP_131279024.1|WP_133857735.1|TEX44287.1|WP_135177995.1|KFB66796.1|KFB73498.1|RDE50699.1|OLC80180.1|PYS86129.1|OGA07404.1|WP_116499074.1|KPK18212.1|RQV97328.1|OZA26907.1|KFB75513.1|RTL07007.1|ARU40517.1|WP_102648302.1|WP_134195739.1|WP_054124927.1|KMV74149.1|WP_012207457.1|WP_106749553.1|WP_026687921.1|PZQ23721.1|RIX47554.1|PSR14241.1|BAL08456.1|WP_003503180.1|WP_027473956.1|KPK18211.1|WP_054018941.1|RTL28043.1|WP_119290157.1|KMY86703.1|WP_027560139.1|WP_121276134.1|RTL33178.1|APG95100.1|WP_110883491.1|PKO72549.1|WP_114598930.1|RUQ39720.1|TAG04184.1|WP_072397155.1|WP_018648425.1|PKO85271.1|PLY14764.1|OGW20020.1|PHX90008.1|WP_014960846.1|RPH78447.1|THJ20788.1|PKO90229.1|WP_109041107.1|OUT52172.1|WP_108975442.1|WP_134358865.1|OPY63732.1|WP_086622581.1|PCI49145.1|WP_079433918.1|PYS82967.1|RTL34994.1|WP_066882744.1|WP_076601165.1|KFB72008.1|WP_010808276.1|WP_045465353.1|WP_124542996.1|WP_079416027.1|KIF30374.1","protein folding","180","ENR","GO:0006457","1.4723","0.0011","GO:0006457","false","GO:0006457"
"3857","0.9995","0.8029","0.0348","1MUEG
","0.0983","ACI92254.1|WP_011286821.1|WP_027459002.1|OGA32853.1|OHC62478.1|TEX49636.1|WP_006162812.1|KFB75252.1|WP_066886845.1|PKO30612.1|PTM61126.1|RIX43534.1|WP_012206542.1|WP_083506166.1|WP_038304535.1|PKO58144.1|WP_119046367.1","ABC-type Fe3 transport system, periplasmic component","17","ENR","1MUEG","1.8454","5.0E-4","1MUEG","false","1MUEG"
"3858","-0.9444","-0.5127","0.2272","COG0148
","1.0","WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|OLL99361.1|WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|CCL39299.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|KIF33670.1|OGW34266.1|WP_079690089.1|RUQ37377.1|RUT95275.1|KXK23501.1|ODT50015.1|WP_079446987.1|OLC74155.1","phosphopyruvate hydratase activity","28","ENR","COG0148","-1.3842","0.0556","COG0148","false","COG0148"
"3859","-0.9703","-0.6709","0.1165","COG2326
","0.9854","TAH50053.1|RTL29051.1|EXI86266.1|PJI41122.1|KFB73888.1|KFB77543.1|RTL38218.1|OHB25114.1|EXI91054.1|KFB70730.1|EXI89389.1|KFB67261.1|PKO93698.1|TAH13192.1|WP_079435633.1","polyphosphate kinase activity","15","ENR","COG2326","-1.5618","0.0297","COG2326","false","COG2326"
"3860","0.9988","0.6935","0.0416","GO:0044571
","0.2797","KFB68274.1|RYD52665.1|WP_004365214.1|BAN35084.1|WP_076094220.1|WP_081148932.1|WP_094267892.1|PKO89627.1|WP_107491793.1|RPH44985.1|WP_124734110.1|WP_005160809.1|WP_013522392.1|WP_133594294.1|WP_133680969.1|OFZ96113.1|WP_109015333.1|WP_088812016.1|WP_035608057.1|OGA63255.1|OJX29812.1|WP_079433534.1|PHQ58449.1|PCI65220.1|WP_119632423.1|OYV35612.1|KNZ34458.1|WP_125244194.1","[2Fe-2S] cluster assembly","28","ENR","GO:0044571","1.7784","0.0012","GO:0044571","false","GO:0044571"
"3861","0.978","0.5391","0.1899","2VIW1
","1.0","WP_067170571.1|OGA06426.1|OGA25275.1|WP_079434226.1|OQW42457.1|OQW82332.1|PKO36077.1|WP_102648302.1|PLX71094.1|WP_134195739.1|WP_124649802.1|WP_054124927.1|WP_131279024.1|WP_105506304.1|WP_133857735.1|TEX44287.1|WP_004180305.1|WP_013744694.1|WP_026687922.1|WP_027473956.1|WP_054018941.1|PKO45489.1|WP_119290157.1|RTL33178.1|KFB66796.1|KFB73498.1|RDE50699.1|WP_102246209.1|PKO93389.1|OGA07404.1|TAK83852.1|WP_116499074.1|KPK18212.1|WP_013522138.1|WP_008115203.1|WP_011236479.1|WP_011286192.1|WP_012207458.1|WP_015434519.1|WP_027456623.1","Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions","40","ENR","2VIW1","1.4757","0.022","2VIW1","false","2VIW1"
