Protein	Original Contig	Protein FDR Confidence: Combined	Master	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Modifications	Cd_1	Cd_2	Cd_3	Ni_1	Ni_2	Ni_3	Cr_1	Cr_2	Cr_3	CK_1	CK_2	CK_3
WP_028995836.1	custom_2470240_1	High	IsMasterProtein	0	120.624	34	19	105	4	1	330.48	19	15	-	53235	58841	47281	120364	147721	139259	19681	32896	41617	60623	58480	56990
custom_147355_2	custom_147355_2	High	IsMasterProtein	0	119.036	28	21	135	2	1	408.11	21	0	-	2922	1676	2711	2871	1927	1777	0	0	0	10556	9218	9339
custom_1012608_17	custom_1012608_17	High	IsMasterProtein	0	118.938	56	15	190	13	1	615.26	15	0	-	170194	177933	170042	49131	53381	54804	9450	9601	5679	976919	963727	984697
custom_1652928_7	custom_1652928_7	High	IsMasterProtein	0	117.406	37	20	190	3	1	570.04	20	7	-	89956	89487	82509	97475	87344	89293	3978	2426	6797	51906	56294	57060
PKO48724.1	custom_788839_3	High	IsMasterProtein	0	117.287	36	19	193	2	1	584.16	19	1	-	479	401	0	18442	14965	14067	0	0	0	5197	4506	6726
custom_2241478_2	custom_2241478_2	High	IsMasterProtein	0	116.875	36	28	101	9	1	269.28	28	19	-	104298	96662	103419	4393	5905	3958	35510	44416	47389	224173	210255	217213
WP_028994793.1	custom_788839_3	High	IsMasterProtein	0	116.517	33	17	130	1	1	373.16	17	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_147355_2	custom_147355_2	High	IsMasterProtein	0	115.524	24	21	131	2	1	387.01	21	20	-	58026	60896	57726	87392	52274	53501	16843	13843	20823	125205	119894	130748
custom_450525_6	custom_450525_6	High	IsMasterProtein	0	115.352	41	15	97	1	1	322.62	15	1	-	2615	2613	2664	33193	34646	37703	831	0	0	611	409	437
custom_1191887_12	custom_1191887_12	High	IsMasterProtein	0	114.966	35	19	177	1	1	493.77	19	1	-	1556	1752	1552	43954	37735	40061	0	278	170	18518	20911	20030
custom_450525_6	custom_450525_6	High	IsMasterProtein	0	114.781	39	15	86	1	1	293.37	15	3	-	2365	2981	2002	2073	1904	2408	11788	14271	15492	10683	11069	12145
custom_425316_24	custom_425316_24	High	IsMasterProtein	0	114.222	70	17	99	16	1	297.18	17	1	-	459236	475541	459310	20474	18453	15886	661426	691678	720389	27535	29719	27241
WP_090322873.1	custom_1076565_2	High	IsMasterProtein	0	113.03	56	17	115	2	1	355.23	17	17	-	85871	98556	89437	239585	219140	232902	49905	36316	37532	86188	87200	91057
custom_2535511_13	custom_2535511_13	High	IsMasterProtein	0	111.357	39	17	186	7	1	511.6	17	11	-	151463	146609	134588	399384	388060	385552	7987	16078	14049	66610	62829	66970
WP_121429542.1	custom_42560_2	High	IsMasterProtein	0	111.034	31	17	90	1	1	288.07	17	6	-	19563	15438	14653	24578	19524	20641	8125	21251	18749	20678	22354	20356
custom_2500536_3	custom_2500536_3	High	IsMasterProtein	0	109.545	40	20	154	7	1	459.18	20	3	-	29894	28312	28900	5869	16515	7593	23580	37691	42720	39916	42329	41668
custom_988406_26	custom_988406_26	High	IsMasterProtein	0	106.507	38	18	96	2	1	272.59	18	0	-	0	272	191	349	285	429	1111	2515	1264	13263	12056	12502
custom_2602326_3	custom_2602326_3	High	IsMasterProtein	0	105.438	31	15	66	1	1	218.64	15	4	-	8465	2130	1901	2097	1783	687	2285	1435	729	9485	11860	11770
WP_004301251.1	custom_1155295_1	High	IsMasterProtein	0	105.406	29	14	69	1	1	233.98	14	0	-	0	617	1057	0	1993	407	0	2195	2120	1031	925	1098
custom_1691807_3	custom_1691807_3	High	IsMasterProtein	0	104.994	47	15	166	4	1	474.16	15	11	-	182126	174203	162631	187671	220088	206085	14148	18011	18465	142522	135627	132659
custom_1641671_3	custom_1641671_3	High	IsMasterProtein	0	104.641	49	15	197	4	1	560	15	1	-	48971	65264	65125	137424	143255	155649	10060	9070	8263	25859	26152	31257
custom_1348275_31	custom_1348275_31	High	IsMasterProtein	0	104.142	37	19	184	2	1	517.26	19	1	-	23761	24613	25152	20641	18333	18012	5087	5127	5492	15832	16663	16799
custom_2239943_2	custom_2239943_2	High	IsMasterProtein	0	103.176	50	16	110	1	1	336.71	16	0	-	0	0	0	0	0	1634	0	0	0	0	0	0
WP_121458515.1	custom_1947473_1	High	IsMasterProtein	0	100.343	27	14	80	1	1	273.13	14	0	-	1291	1791	2069	14086	19883	15636	0	1442	1292	1676	1068	558
WP_014238320.1	custom_853536_1	High	IsMasterProtein	0	100.276	35	18	169	1	1	489.95	18	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PKO34332.1	custom_621138_2	High	IsMasterProtein	0	100.055	43	17	72	1	1	239.8	17	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1640595_1	custom_1640595_1	High	IsMasterProtein	0	99.869	47	16	526	12	1	1672.74	16	5	-	628478	649754	624184	161149	169778	162115	35779	24154	18827	2249913	2207071	2363482
WP_014237270.1	custom_2354535_1	High	IsMasterProtein	0	99.341	30	12	63	3	1	220.15	12	0	-	4344	5306	6170	26918	23917	19506	1741	0	0	16178	16707	14952
WP_079433870.1	custom_853781_1	High	IsMasterProtein	0	99.232	27	14	98	1	1	313.24	14	3	-	5182	4189	2759	68613	57626	63099	6582	4533	4588	1622	3762	2369
custom_594714_7	custom_594714_7	High	IsMasterProtein	0	98.959	42	17	73	1	1	242.07	17	10	-	31553	34498	34692	64148	38506	49056	57966	57649	57502	35907	30371	30683
custom_1186281_3	custom_1186281_3	High	IsMasterProtein	0	95.896	33	23	101	4	1	264.73	23	1	-	32402	21882	26462	0	0	136	17276	16197	16288	24325	24058	24201
custom_1652928_7	custom_1652928_7	High	IsMasterProtein	0	95.677	31	16	131	1	1	429.71	16	0	-	0	4468	4377	0	0	0	0	0	0	379	349	748
PWB55871.1	custom_1912607_1	High	IsMasterProtein	0	92.079	25	13	125	3	1	350.27	13	0	-	165	417	103	8817	10656	10425	495	0	0	2655	2328	4745
custom_2095910_14	custom_2095910_14	High	IsMasterProtein	0	91.979	51	15	78	3	1	239.36	15	10	-	192799	189766	189247	66369	67264	62383	131684	195292	178715	42547	41949	50765
custom_91895_7	custom_91895_7	High	IsMasterProtein	0	91.773	46	14	38	14	1	129.22	14	0	-	0	2002	503	59248	51096	52095	3007	1439	1375	3992	2361	3630
custom_1101227_14	custom_1101227_14	High	IsMasterProtein	0	91.447	35	18	80	5	1	238.02	18	10	-	131103	133033	136223	40036	36727	30377	12740	24389	21056	31379	27114	32837
custom_1640595_2	custom_1640595_2	High	IsMasterProtein	0	90.586	54	15	162	9	1	499.52	15	5	-	167850	165213	173377	39019	50166	42844	26832	25136	33489	780100	826734	810857
custom_2393408_10	custom_2393408_10	High	IsMasterProtein	0	89.658	26	17	50	8	1	128.72	17	8	-	106734	96525	95570	60869	60541	57823	14648	7316	25270	75827	82652	68851
custom_988406_10	custom_988406_10	High	IsMasterProtein	0	89.298	29	22	63	22	1	188.28	22	0	-	55569	59570	62938	7640	9521	12281	25327	33447	20873	117940	112629	112916
custom_2600537_10	custom_2600537_10	High	IsMasterProtein	0	89.267	58	17	148	3	1	382.47	17	15	-	119590	121117	122692	412284	435443	450514	177979	165828	189070	144934	141789	150202
custom_1699727_8	custom_1699727_8	High	IsMasterProtein	0	88.802	34	19	180	1	1	500.01	19	1	-	1875	4692	3996	8615	2665	2933	0	0	0	7178	6777	7299
WP_054620665.1	custom_2239539_1	High	IsMasterProtein	0	88.766	23	11	62	0	1	207.1	11	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_112_2	custom_112_2	High	IsMasterProtein	0	87.275	25	19	127	5	1	321.71	19	9	-	70273	69041	68987	338346	343254	337997	75585	50161	51098	21550	18833	21326
custom_1287981_7	custom_1287981_7	High	IsMasterProtein	0	86.806	46	18	49	3	1	144.67	18	14	-	140690	142593	140692	46209	50815	39124	27603	10350	16991	27775	30258	23179
custom_458701_1	custom_458701_1	High	IsMasterProtein	0	86.111	43	11	160	1	1	513.24	11	11	-	343575	329114	307382	432471	413119	433129	15976	11836	19787	309248	310050	293289
WP_027458076.1	custom_61713_1	High	IsMasterProtein	0	85.636	26	15	82	2	1	258.27	15	1	-	1772	2056	1405	2038	2145	1986	14954	12691	15128	3265	2932	2918
WP_043820335.1	custom_2088691_1	High	IsMasterProtein	0	85.174	25	21	47	13	1	129.73	21	7	-	35175	33593	38555	419	605	1332	7985	5108	13371	18104	17295	18962
custom_1476629_9	custom_1476629_9	High	IsMasterProtein	0	84.806	55	14	115	8	1	363.68	14	0	-	5572	8970	6619	3439	2625	3346	2071	2769	4168	214050	212956	215179
custom_950186_1	custom_950186_1	High	IsMasterProtein	0	84.674	53	14	83	3	1	261.21	14	12	-	276122	278253	264861	20971	26207	27962	35221	35254	39554	43666	36828	42257
WP_076096556.1	custom_2000860_17	High	IsMasterProtein	0	83.748	32	17	112	1	1	299.84	17	1	-	1563	3588	3544	0	1167	820	6490	7021	8306	994	1965	1229
custom_1663167_56	custom_1663167_56	High	IsMasterProtein	0	83.685	30	20	40	4	1	128	20	11	-	6695	7247	6267	50516	50199	55612	44786	56698	54821	12047	13330	11829
custom_2146832_3	custom_2146832_3	High	IsMasterProtein	0	83.207	39	14	114	3	1	408.44	14	2	-	18112	27190	27291	30100	23170	13364	3192	0	0	6409	6877	0
custom_1884880_8	custom_1884880_8	High	IsMasterProtein	0	83.06	41	10	169	1	1	495.57	10	3	-	92897	89745	87897	35613	32618	33172	1475	1035	2088	8851	5750	6539
WP_027459187.1	custom_2510406_2	High	IsMasterProtein	0	82.87	36	15	125	2	1	407.96	15	12	-	218116	261359	247429	702243	642659	605478	148546	169856	144544	148106	141772	132760
custom_450525_6	custom_450525_6	High	IsMasterProtein	0	82.696	33	12	72	1	1	239.18	12	0	-	0	0	0	0	0	0	0	0	0	4592	4759	4520
TEX48077.1	custom_1185502_1	High	IsMasterProtein	0	82.509	28	14	88	1	1	275.42	14	0	-	1479	1648	1884	14811	14747	15315	45	32	56	256	216	248
WP_079434226.1	custom_2274386_2	High	IsMasterProtein	0	82.501	39	16	83	7	1	256.97	16	9	-	59207	61282	58025	95051	92357	90310	25662	35317	34290	49555	45144	41587
custom_476827_2	custom_476827_2	High	IsMasterProtein	0	82.239	24	20	47	10	1	119.13	20	9	-	12695	8089	10629	3165	3732	4406	26567	25883	26801	76366	71439	75168
custom_1429484_3	custom_1429484_3	High	IsMasterProtein	0	82.17	45	11	90	2	1	286.76	11	4	-	58751	56666	56135	50136	60350	54081	14196	21724	20812	15425	15540	15080
custom_1884880_8	custom_1884880_8	High	IsMasterProtein	0	81.194	47	11	151	0	1	448.94	11	9	-	111237	107548	104111	99941	76690	83016	1542	11409	10868	20649	21588	23338
custom_2330311_13	custom_2330311_13	High	IsMasterProtein	0	80.323	39	18	104	2	1	278.59	18	16	-	42594	40529	43636	26986	26685	26023	10751	24559	22987	73281	66227	76050
custom_435510_1	custom_435510_1	High	IsMasterProtein	0	80.114	42	16	83	7	1	219.5	16	9	-	77261	81672	80812	43238	32300	31985	104468	107538	112130	58438	53977	51968
custom_7273_2	custom_7273_2	High	IsMasterProtein	0	79.69	41	11	152	3	1	428.9	11	11	-	89327	87821	81694	232799	241742	268755	84810	90774	101999	193948	195872	186253
KFB68258.1	custom_921290_1	High	IsMasterProtein	0	79.583	42	17	53	1	1	152.36	17	12	-	11590	18898	13688	95478	52574	63739	25451	22982	25087	54537	56709	54090
custom_1799175_5	custom_1799175_5	High	IsMasterProtein	0	79.494	42	17	55	1	1	156.07	17	0	-	0	0	368	720	0	0	0	2112	2148	7977	7431	6981
custom_2283038_10	custom_2283038_10	High	IsMasterProtein	0	79.262	29	12	57	2	1	173.81	12	9	-	24280	29981	29433	25971	28964	25467	18650	17165	19613	11285	8241	7033
custom_1576986_14	custom_1576986_14	High	IsMasterProtein	0	78.455	26	20	64	7	1	180.19	20	4	-	41330	38063	37598	3099	0	2266	8197	4477	5014	24497	25311	26490
custom_1350246_70	custom_1350246_70	High	IsMasterProtein	0	78.326	39	17	38	17	1	106.32	17	0	-	62621	62920	64322	4321	3298	3704	69671	85612	79518	2009	3702	2035
custom_1973988_1	custom_1973988_1	High	IsMasterProtein	0	78.192	53	12	94	5	1	257.11	12	2	-	33874	33967	32143	53553	63432	51234	14785	5261	3799	16903	15035	16994
custom_2148740_8	custom_2148740_8	High	IsMasterProtein	0	77.785	35	11	95	3	1	270.03	11	6	-	26971	30066	28980	139113	145991	157046	9062	21971	14351	18599	18796	18832
custom_1924931_1	custom_1924931_1	High	IsMasterProtein	0	77.615	47	12	59	3	1	184.64	12	0	-	3988	6290	7057	15884	19303	18387	10918	12904	18466	2345	3304	3327
custom_2360123_8	custom_2360123_8	High	IsMasterProtein	0	77.414	40	15	53	1	1	164.96	15	0	-	0	0	0	0	0	0	0	0	0	1138	892	894
custom_1093043_3	custom_1093043_3	High	IsMasterProtein	0	77.37	32	15	140	7	1	410.14	15	8	-	142759	141093	137127	742629	685271	646101	26394	19666	26931	198265	188313	193496
custom_1745977_38	custom_1745977_38	High	IsMasterProtein	0	76.992	39	12	84	6	1	287.89	12	5	-	27062	29032	29600	2772	2282	2336	20207	23917	11974	80095	86554	88821
WP_079435330.1	custom_1877617_5	High	IsMasterProtein	0	76.008	42	13	74	5	1	205.77	13	6	-	40560	38055	36549	91369	95354	95180	33283	20026	20211	22815	22521	24497
custom_733127_8	custom_733127_8	High	IsMasterProtein	0	75.877	27	11	61	1	1	199.23	11	0	-	0	0	0	1117	1279	1293	15369	12192	11967	0	1010	865
WP_079437075.1	custom_623358_1	High	IsMasterProtein	0	75.468	46	10	79	6	1	242.75	10	1	-	38107	40787	35130	60153	61742	55692	9411	3950	3672	10678	14055	13087
RTL33232.1	custom_2658299_1	High	IsMasterProtein	0	75.431	35	10	54	2	1	160.36	10	3	-	15779	15431	14230	54028	56829	78613	1136	0	0	6501	6371	7301
custom_2520553_4	custom_2520553_4	High	IsMasterProtein	0	75.248	30	15	89	4	1	244.75	15	11	-	96551	92377	90617	27486	33327	32778	81128	95960	93328	166547	176678	161361
PKO36077.1	custom_900749_1	High	IsMasterProtein	0	75.23	26	11	67	0	1	212.52	11	1	-	158	0	210	3265	3861	3242	0	0	0	2130	2148	2067
WP_053420926.1	custom_1403286_1	High	IsMasterProtein	0	74.987	12	14	65	1	1	182.84	14	0	-	373	562	430	4240	4056	4372	29402	23673	18285	0	0	0
custom_1430846_2	custom_1430846_2	High	IsMasterProtein	0	74.889	17	8	142	3	1	404.8	8	5	-	24237	22358	26709	508154	581514	577494	70938	79693	76456	33991	42034	39058
custom_2192437_1	custom_2192437_1	High	IsMasterProtein	0	74.667	26	19	50	4	1	138.51	19	15	-	17491	15405	11328	3222	3667	3207	35756	24638	33900	75407	74917	76022
WP_027456623.1	custom_81646_1	High	IsMasterProtein	0	74.541	31	14	79	5	1	242.38	14	4	-	57697	59025	61621	24801	25036	10646	21444	27679	36050	17764	17983	18956
custom_1287981_7	custom_1287981_7	High	IsMasterProtein	0	74.53	40	17	48	2	1	136.91	17	0	-	14055	15560	16209	0	747	171	0	1182	927	6990	5251	0
custom_2259121_7	custom_2259121_7	High	IsMasterProtein	0	74.227	34	17	74	4	1	207.03	17	13	-	23700	22024	26074	3754	4919	3995	6015	10724	9832	202998	202979	195839
RIX44084.1	custom_1455307_4	High	IsMasterProtein	0	73.952	27	14	70	1	1	203.26	14	3	-	6965	6834	7314	16172	21549	17510	643213	561032	532456	6145	5680	5108
custom_2214482_29	custom_2214482_29	High	IsMasterProtein	0	73.903	47	13	59	2	1	169.16	13	6	-	5270	7680	6443	5619	7068	7975	41264	45276	46142	94000	94328	95235
custom_1189870_9	custom_1189870_9	High	IsMasterProtein	0	73.778	47	9	69	7	1	225.92	9	3	-	53965	53753	50719	8567	10274	9552	57112	63828	58816	143273	141562	151662
WP_013802660.1	custom_1582282_4	High	IsMasterProtein	0	73.49	25	17	51	6	1	137.25	17	11	-	98890	96160	93083	5384	6544	5973	11571	27108	25048	9726	9207	11514
custom_1691807_3	custom_1691807_3	High	IsMasterProtein	0	73.028	37	13	176	2	1	512.64	13	2	-	12168	10528	9997	5498	6234	6320	522	0	0	47512	48470	48393
custom_1083040_1	custom_1083040_1	High	IsMasterProtein	0	72.919	42	12	64	2	1	193.45	12	9	-	45594	50127	49939	100308	95443	99185	33823	27877	29872	7594	7950	10912
custom_2151383_5	custom_2151383_5	High	IsMasterProtein	0	72.768	19	11	51	3	1	117.17	11	8	-	27927	31843	32623	73536	70268	75981	8456	13966	9596	22204	23494	22404
custom_2330311_13	custom_2330311_13	High	IsMasterProtein	0	72.632	39	17	95	1	1	256.66	17	0	-	0	809	909	0	579	0	630	938	647	801	934	1082
custom_2621628_53	custom_2621628_53	High	IsMasterProtein	0	72.627	29	9	152	1	1	449.05	9	1	-	3784	3545	3551	0	0	0	878	1276	1391	0	430	364
PKO71814.1	custom_1539158_1	High	IsMasterProtein	0	72.484	26	13	119	2	1	364.52	13	0	-	2256	1986	2371	10624	12951	10832	4420	0	4952	275	0	464
custom_831940_33	custom_831940_33	High	IsMasterProtein	0	72.355	31	12	87	3	1	264.86	12	5	-	2740	2826	3395	6141	5641	5464	13256	8780	13286	71819	69936	68503
custom_112_2	custom_112_2	High	IsMasterProtein	0	72.271	21	17	130	2	1	329.5	17	0	-	12051	12894	13785	69976	70274	68353	5149	3930	3579	3542	4880	3465
custom_159688_2	custom_159688_2	High	IsMasterProtein	0	71.832	29	18	43	18	1	110.21	18	0	Acetyl [N-Term]	11903	14647	14840	58500	62321	60970	9754	9985	9287	7706	15400	8258
custom_1989675_6	custom_1989675_6	High	IsMasterProtein	0	71.632	52	14	115	1	1	278.45	14	1	-	1553	723	339	2794	8855	2861	61363	57157	58756	1354	1697	1516
WP_136385043.1	custom_1517332_1	High	IsMasterProtein	0	70.762	14	16	55	1	1	158.15	16	8	-	16144	14013	14543	15921	16203	14595	4888	4751	4312	14552	14162	17248
custom_482622_31	custom_482622_31	High	IsMasterProtein	0	70.449	41	12	61	1	1	175.67	12	1	-	16696	14464	13654	629	569	1423	0	3254	2864	1144	1689	994
custom_1218842_2	custom_1218842_2	High	IsMasterProtein	0	70.235	25	10	88	1	1	289.59	10	0	-	2681	2952	2248	2823	2983	2501	0	0	0	0	741	565
custom_1581684_15	custom_1581684_15	High	IsMasterProtein	0	69.963	56	13	38	8	1	115.43	13	4	-	13597	13878	12094	66646	67597	67419	45200	45485	47588	208371	200249	201951
WP_079435344.1	custom_863468_1	High	IsMasterProtein	0	69.888	27	10	44	3	1	142.72	10	3	-	22026	23576	24211	75887	55565	62971	15638	1816	11840	8682	12720	8328
AJO62823.1	custom_2613310_1	High	IsMasterProtein	0	69.843	55	14	124	1	1	314.66	14	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2252151_19	custom_2252151_19	High	IsMasterProtein	0	69.764	38	9	61	1	1	210.13	9	0	-	1065	1713	1626	3181	3605	3054	0	0	0	0	0	0
WP_027457095.1	custom_2529738_11	High	IsMasterProtein	0	69.581	39	10	73	1	1	229.11	10	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_240401_26	custom_240401_26	High	IsMasterProtein	0	69.39	25	16	32	12	1	82.3	16	4	-	20239	20682	20466	3050	7837	4037	2579	5082	6514	2112	5456	3927
WP_014235485.1	custom_365207_2	High	IsMasterProtein	0	69.262	12	15	67	1	1	182.86	15	5	-	6531	5849	7785	6639	6796	7764	1264	784	0	4132	3865	6173
custom_383472_3	custom_383472_3	High	IsMasterProtein	0	69.201	42	10	64	2	1	216.56	10	8	-	138980	138738	131661	96953	102390	95302	58785	58566	58231	48710	46252	48484
custom_1463575_2	custom_1463575_2	High	IsMasterProtein	0	69.12	26	14	60	4	1	165.25	14	8	-	22201	19298	21624	41442	41668	44153	42010	39133	58097	5748	7231	8460
custom_312019_3	custom_312019_3	High	IsMasterProtein	0	68.972	37	13	137	4	1	431.43	13	1	-	6255	5933	6810	549	890	810	0	0	679	15228	15419	13789
custom_1466066_11	custom_1466066_11	High	IsMasterProtein	0	68.652	36	9	67	6	1	207.61	9	3	-	70830	77551	75586	67921	67427	54299	13010	13093	13326	23385	17650	19012
custom_2553183_9	custom_2553183_9	High	IsMasterProtein	0	68.609	19	15	37	15	1	110.85	15	0	-	10368	5195	11832	34984	31741	33318	13468	12834	17912	16020	16317	6814
custom_1959170_4	custom_1959170_4	High	IsMasterProtein	0	68.488	35	17	73	7	1	211.5	17	10	-	9434	9960	9718	56622	46750	46548	124499	126939	138085	153172	155342	163779
custom_1271724_4	custom_1271724_4	High	IsMasterProtein	0	68.422	29	15	65	1	1	182.2	15	1	-	338	277	352	1007	803	495	944	0	0	16417	17678	13598
PKO37700.1	custom_839726_1	High	IsMasterProtein	0	68.165	38	10	31	1	1	106.11	10	8	-	12299	10914	11869	43253	46558	47522	6451	6966	3750	5322	7939	5494
custom_2362112_8	custom_2362112_8	High	IsMasterProtein	0	68.014	41	13	137	0	1	367.07	13	2	-	792	291	309	1403	1250	0	0	4154	0	0	0	1220
THD30604.1	custom_1663167_56	High	IsMasterProtein	0	67.99	24	17	28	1	1	83.16	17	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1072619_3	custom_1072619_3	High	IsMasterProtein	0	67.98	13	15	56	1	1	157.73	15	4	-	4335	4825	4313	3192	2536	2609	3827	3168	3626	2076	2167	2171
custom_1832677_2	custom_1832677_2	High	IsMasterProtein	0	67.638	41	12	124	4	1	295.62	12	8	-	9926	8511	7993	63704	55940	58651	87779	59992	191651	885830	921926	829647
custom_2095910_14	custom_2095910_14	High	IsMasterProtein	0	67.548	36	11	67	0	1	200.69	11	2	-	22453	18853	19159	17082	962	22205	0	0	285	2908	3185	2689
custom_374984_2	custom_374984_2	High	IsMasterProtein	0	67.402	37	11	72	11	1	228.55	11	0	-	2711	3384	884	313631	330899	336861	31493	38179	22589	2995	2376	3383
custom_1252224_2	custom_1252224_2	High	IsMasterProtein	0	67.366	31	11	61	2	1	191.67	11	0	-	2310	3561	3783	2380	369	0	3361	1717	1268	2947	1458	1027
WP_011289724.1	custom_2574697_1	High	IsMasterProtein	0	67.032	28	14	62	2	1	176.6	14	0	-	4656	3983	4999	291	191	133	7082	11610	11886	911	324	324
custom_2528295_12	custom_2528295_12	High	IsMasterProtein	0	67.019	25	18	44	4	1	116.42	18	0	-	3763	4388	5247	1555	994	1624	1351	2822	0	14792	14204	14310
WP_079435464.1	custom_883813_1	High	IsMasterProtein	0	66.979	20	12	83	4	1	211.61	12	6	-	40893	40722	40920	158878	149631	155175	63232	39846	37128	73069	71146	77750
custom_1691807_3	custom_1691807_3	High	IsMasterProtein	0	66.875	38	12	133	1	1	349.75	12	1	-	1192	1175	951	206	185	180	2192	2290	2777	6519	6682	712
custom_640870_55	custom_640870_55	High	IsMasterProtein	0	66.405	22	15	36	14	1	106.25	15	1	-	32932	36056	34759	1089	885	467	17308	12691	30376	3119	2703	2988
TEX49228.1	custom_657442_1	High	IsMasterProtein	0	66.305	11	13	53	2	1	146.78	13	0	-	6025	6711	6073	2829	3659	3688	2677	3936	3928	1605	2025	1376
custom_1435653_113	custom_1435653_113	High	IsMasterProtein	0	65.87	54	12	48	12	1	165.87	12	0	-	294834	308387	304082	7403	5540	4723	14083	2567	2441	3873	2629	2570
custom_374984_3	custom_374984_3	High	IsMasterProtein	0	65.856	49	14	56	13	1	168.15	14	1	-	29456	24935	21950	226203	273814	269108	18481	16086	19237	6606	5509	8511
WP_028456103.1	custom_2341965_1	High	IsMasterProtein	0	65.675	26	10	47	2	1	149.17	10	0	-	81	72	0	0	0	0	1890	0	0	2958	3507	3329
custom_1581684_14	custom_1581684_14	High	IsMasterProtein	0	65.602	41	14	53	10	1	137.2	14	4	-	9720	15935	10578	2267	2823	2963	21355	26862	27923	375249	383386	401671
custom_1961047_2	custom_1961047_2	High	IsMasterProtein	0	65.582	43	10	66	8	1	186.81	10	2	-	54265	53460	52031	181546	190789	180431	16108	15410	10716	34247	33743	30799
custom_831940_32	custom_831940_32	High	IsMasterProtein	0	65.532	24	19	70	9	1	186.52	19	9	-	35870	34128	34129	59960	57880	63534	6723	15257	12521	108465	105768	108450
WP_121428293.1	custom_937769_1	High	IsMasterProtein	0	65.43	26	9	70	1	1	194.46	9	1	-	5593	5244	5598	1811	1185	1249	10009	6777	7660	1281	1951	1524
WP_004361350.1	custom_813776_16	High	IsMasterProtein	0	65.331	29	11	166	0	1	490.66	11	3	-	9731	8816	9085	27421	34758	32657	0	0	2020	16791	15265	16334
custom_668798_6	custom_668798_6	High	IsMasterProtein	0	64.865	25	9	43	1	1	171.32	9	0	-	882	626	497	2174	2318	2273	0	0	0	0	0	0
custom_799152_3	custom_799152_3	High	IsMasterProtein	0	64.719	19	14	33	8	1	91.57	14	4	-	48992	48648	49563	4117	2265	2093	2073	2886	560	12225	13614	11359
custom_2091542_39	custom_2091542_39	High	IsMasterProtein	0	64.528	26	12	42	3	1	134.66	12	0	-	4305	4302	4384	14390	13828	13578	8237	7510	7022	3760	3528	2466
WP_053422110.1	custom_208645_3	High	IsMasterProtein	0	64.411	17	9	55	1	1	184.63	9	0	-	359	325	201	139	136	0	4343	4807	4088	1812	1559	1638
WP_110524174.1	custom_2502050_1	High	IsMasterProtein	0	64.276	19	15	100	3	1	225.13	15	12	-	40782	39498	34604	119972	124011	129715	12700	13008	13743	28909	33478	31416
