protein	ontology
CFX52907.1	1MZ2X
EXI68772.1	1MZ2X
OIP08621.1	1MZ2X
PKO72549.1	1MZ2X
WP_027560139.1	1MZ2X
WP_072397155.1	1MZ2X
ACV34416.1	1N6EM
EXI89542.1	1N6EM
EXI92924.1	1N6EM
KFB66372.1	1N6EM
KFB66374.1	1N6EM
KFB71000.1	1N6EM
KFB75399.1	1N6EM
RTL03953.1	1N6EM
SBT05161.1	1N6EM
SBT09970.1	1N6EM
WP_004252965.1	1N6EM
WP_004303499.1	1N6EM
WP_019919114.1	1N6EM
WP_026685518.1	1N6EM
WP_053419840.1	1N6EM
WP_110524092.1	1N6EM
EXI66302.1	1RB94
EXI88854.1	1RB94
EXI88855.1	1RB94
KFB66910.1	1RB94
KFB66912.1	1RB94
KFB73571.1	1RB94
KFB73572.1	1RB94
KFB78005.1	1RB94
WP_015765720.1	1RB94
CDH47611.1	2VH8R
EXI90689.1	2VH8R
KFB74895.1	2VH8R
OHC72288.1	2VH8R
OJX17264.1	2VH8R
RPJ44264.1	2VH8R
RYF80491.1	2VH8R
TEX48147.1	2VH8R
WP_124219361.1	2VH8R
EXI79150.1	2VIJF
KFB77946.1	2VIJF
KPK19984.1	2VIJF
OFZ97010.1	2VIJF
WP_012204342.1	2VIJF
WP_028995009.1	2VIJF
WP_114401430.1	2VIJF
WP_121241506.1	2VIJF
WP_121457279.1	2VIJF
EXI67290.1	2VIP3
EXI90485.1	2VIP3
KFB77558.1	2VIP3
OHC63200.1	2VIP3
OYU98291.1	2VIP3
RYF73834.1	2VIP3
TEX48162.1	2VIP3
WP_011287385.1	2VIP3
WP_016445177.1	2VIP3
WP_038212960.1	2VIP3
WP_056321934.1	2VIP3
WP_107729813.1	2VIP3
WP_113039516.1	2VIP3
WP_130433995.1	2VIP3
WP_133591291.1	2VIP3
ACV34416.1	2VM27
EXI89542.1	2VM27
EXI92924.1	2VM27
KFB66372.1	2VM27
KFB66374.1	2VM27
KFB71000.1	2VM27
KFB75399.1	2VM27
RTL03953.1	2VM27
SBT05161.1	2VM27
SBT09970.1	2VM27
WP_004252965.1	2VM27
WP_004303499.1	2VM27
WP_019919114.1	2VM27
WP_026685518.1	2VM27
WP_053419840.1	2VM27
WP_110524092.1	2VM27
EIL97467.1	COG0039
KFB77939.1	COG0039
OJU29200.1	COG0039
PKO83985.1	COG0039
WP_000813006.1	COG0039
WP_028500682.1	COG0039
KFB78215.1	COG0067
PHY03308.1	COG0067
WP_011285986.1	COG0067
WP_050417645.1	COG0067
WP_079434406.1	COG0067
WP_100265336.1	COG0067
WP_102245658.1	COG0067
WP_130459456.1	COG0067
KFB78215.1	COG0069
PHY03308.1	COG0069
WP_011285986.1	COG0069
WP_050417645.1	COG0069
WP_079434406.1	COG0069
WP_100265336.1	COG0069
WP_102245658.1	COG0069
WP_130459456.1	COG0069
KFB78215.1	COG0070
PHY03308.1	COG0070
WP_011285986.1	COG0070
WP_050417645.1	COG0070
WP_079434406.1	COG0070
WP_102245658.1	COG0070
WP_130459456.1	COG0070
RTL34219.1	COG0097
WP_096449278.1	COG0097
WP_099407143.1	COG0097
OYU48789.1	COG0129
WP_002931890.1	COG0129
WP_011236835.1	COG0129
WP_041547671.1	COG0129
WP_066882891.1	COG0129
WP_126463609.1	COG0129
WP_132249930.1	COG0129
CCL39299.1	COG0148
EXI74690.1	COG0148
KFB66257.1	COG0148
KFB68186.1	COG0148
ODT50015.1	COG0148
OLC74155.1	COG0148
RUQ37377.1	COG0148
TKT73400.1	COG0148
WP_042422614.1	COG0148
WP_048674821.1	COG0148
WP_106748256.1	COG0148
KFB67736.1	COG0191
SCX09618.1	COG0191
WP_011289321.1	COG0191
WP_056668985.1	COG0191
EXI65852.1	COG0365
EXI67290.1	COG0365
EXI89114.1	COG0365
EXI90485.1	COG0365
KER84787.1	COG0365
KFB75248.1	COG0365
KFB77558.1	COG0365
OHC63200.1	COG0365
OYU98291.1	COG0365
OYX42542.1	COG0365
RTL47532.1	COG0365
RYF73834.1	COG0365
TEX48162.1	COG0365
WP_011287385.1	COG0365
WP_011785686.1	COG0365
WP_016445177.1	COG0365
WP_038212960.1	COG0365
WP_056321934.1	COG0365
WP_056881558.1	COG0365
WP_083833987.1	COG0365
WP_107729813.1	COG0365
WP_113039516.1	COG0365
WP_127399087.1	COG0365
WP_130433995.1	COG0365
WP_133591291.1	COG0365
EXI79150.1	COG0372
KFB77946.1	COG0372
KPK19984.1	COG0372
OFZ97010.1	COG0372
PJI38023.1	COG0372
WP_011158456.1	COG0372
WP_012204342.1	COG0372
WP_028995009.1	COG0372
WP_075187930.1	COG0372
WP_084269874.1	COG0372
WP_114401430.1	COG0372
WP_121241506.1	COG0372
WP_121457279.1	COG0372
WP_014427441.1	COG0479
WP_076097457.1	COG0479
WP_108352905.1	COG0479
WP_117609047.1	COG0479
WP_136385959.1	COG0479
EXI89332.1	COG0574
EXI93095.1	COG0574
KFB70585.1	COG0574
KFB76033.1	COG0574
OGU32972.1	COG0574
SBT04026.1	COG0574
WP_016447601.1	COG0574
WP_025426208.1	COG0574
WP_027458585.1	COG0574
WP_104799308.1	COG0574
WP_111458653.1	COG0574
WP_119718228.1	COG0574
WP_133587362.1	COG0574
ABQ70646.1	COG1012
ODS67530.1	COG1012
PKO35985.1	COG1012
WP_047497795.1	COG1012
WP_068639475.1	COG1012
WP_079434343.1	COG1012
WP_092754163.1	COG1012
WP_096450466.1	COG1012
WP_106750330.1	COG1012
CDH47611.1	COG1028
EXI90689.1	COG1028
KFB74895.1	COG1028
KFB77420.1	COG1028
OGB18647.1	COG1028
OHC72288.1	COG1028
OJX17264.1	COG1028
PKP68941.1	COG1028
PPR64223.1	COG1028
PZQ52337.1	COG1028
RPJ44264.1	COG1028
RTK98005.1	COG1028
RYF80491.1	COG1028
TEX48147.1	COG1028
WP_004579485.1	COG1028
WP_008121844.1	COG1028
WP_012204702.1	COG1028
WP_048670196.1	COG1028
WP_062590256.1	COG1028
WP_106747191.1	COG1028
WP_124219361.1	COG1028
WP_137098281.1	COG1028
AHA36497.1	COG1140
BBG74083.1	COG1140
KFB69440.1	COG1140
RUQ40370.1	COG1140
WP_004301710.1	COG1140
WP_011397794.1	COG1140
WP_012203041.1	COG1140
WP_020564490.1	COG1140
WP_070987526.1	COG1140
WP_087648738.1	COG1140
WP_110258092.1	COG1140
WP_132542637.1	COG1140
EXI67961.1	COG1392
EXI85807.1	COG1392
EXI86345.1	COG1392
EXI90708.1	COG1392
KFB67540.1	COG1392
KFB71158.1	COG1392
KFB71918.1	COG1392
KFB74231.1	COG1392
KFB75089.1	COG1392
KFB75091.1	COG1392
CCV15083.1	COG1879
ODT20068.1	COG1879
RWI91810.1	COG1879
TIY08164.1	COG1879
WP_008839394.1	COG1879
WP_029074649.1	COG1879
WP_047559843.1	COG1879
WP_088151179.1	COG1879
WP_119272875.1	COG1879
WP_121580096.1	COG1879
WP_121583118.1	COG1879
WP_121583689.1	COG1879
WP_126011369.1	COG1879
EXI88868.1	COG1884
KFB77383.1	COG1884
KFB78396.1	COG1884
TAL00290.1	COG1884
WP_011289727.1	COG1884
WP_021250893.1	COG1884
WP_027948216.1	COG1884
WP_028993732.1	COG1884
WP_035028480.1	COG1884
WP_110266925.1	COG1884
KFB71624.1	COG2857
RIX47036.1	COG2857
RTL30063.1	COG2857
SBT06512.1	COG2857
TEX44520.1	COG2857
WP_011828451.1	COG2857
WP_053419955.1	COG2857
WP_090322662.1	COG2857
WP_106749016.1	COG2857
WP_121427546.1	COG2857
PKO35578.1	COG3243
RTL33232.1	COG3243
WP_004258686.1	COG3243
WP_004312074.1	COG3243
WP_028994027.1	COG3243
WP_079435344.1	COG3243
WP_079436673.1	COG3243
WP_102041172.1	COG3243
WP_128625707.1	COG3243
KFB77167.1	COG3808
ODT53893.1	COG3808
OQW70483.1	COG3808
WP_027459158.1	COG3808
WP_066884054.1	COG3808
WP_074708295.1	COG3808
WP_092933185.1	COG3808
WP_106748051.1	COG3808
WP_136383560.1	COG3808
OJW49429.1	COG4770
PKO39899.1	COG4770
RIX44084.1	COG4770
TEX49417.1	COG4770
WP_004337393.1	COG4770
WP_054621528.1	COG4770
WP_094442550.1	COG4770
ODU09514.1	COG4796
RIX48542.1	COG4796
SBT09923.1	COG4796
WP_011285983.1	COG4796
WP_088179434.1	COG4796
ODS71062.1	COG5013
OJY87033.1	COG5013
RTL04036.1	COG5013
WP_012585584.1	COG5013
WP_043820335.1	COG5013
WP_056197883.1	COG5013
WP_090018893.1	COG5013
CCL39299.1	GO:0000015
EXI74690.1	GO:0000015
KFB66257.1	GO:0000015
KFB68186.1	GO:0000015
ODT50015.1	GO:0000015
OLC74155.1	GO:0000015
RUQ37377.1	GO:0000015
TKT73400.1	GO:0000015
WP_042422614.1	GO:0000015
WP_048674821.1	GO:0000015
WP_106748256.1	GO:0000015
AWH61885.1	GO:0000155
OGU10417.1	GO:0000155
OIP12852.1	GO:0000155
PKO81323.1	GO:0000155
REK06819.1	GO:0000155
RJR09637.1	GO:0000155
RTL34001.1	GO:0000155
RTL39489.1	GO:0000155
RTL40889.1	GO:0000155
RTL42903.1	GO:0000155
WP_007041564.1	GO:0000155
WP_011289618.1	GO:0000155
WP_015181186.1	GO:0000155
WP_015437424.1	GO:0000155
WP_062357585.1	GO:0000155
WP_066860408.1	GO:0000155
WP_079434806.1	GO:0000155
WP_079436891.1	GO:0000155
WP_083859815.1	GO:0000155
WP_102040908.1	GO:0000155
WP_116980805.1	GO:0000155
WP_117010228.1	GO:0000155
WP_132975974.1	GO:0000155
OGA79882.1	GO:0000162
PKO34179.1	GO:0000162
PKO70808.1	GO:0000162
WP_027457672.1	GO:0000162
WP_079433243.1	GO:0000162
WP_079433245.1	GO:0000162
WP_079433322.1	GO:0000162
WP_109680178.1	GO:0000162
WP_136219810.1	GO:0000162
WP_136348850.1	GO:0000162
EXI67290.1	GO:0003987
EXI90485.1	GO:0003987
KER84787.1	GO:0003987
KFB77558.1	GO:0003987
OHC63200.1	GO:0003987
OYX42542.1	GO:0003987
RYF73834.1	GO:0003987
TEX48162.1	GO:0003987
WP_011287385.1	GO:0003987
WP_011785686.1	GO:0003987
WP_016445177.1	GO:0003987
WP_038212960.1	GO:0003987
WP_056321934.1	GO:0003987
WP_056881558.1	GO:0003987
WP_107729813.1	GO:0003987
WP_113039516.1	GO:0003987
WP_130433995.1	GO:0003987
WP_133591291.1	GO:0003987
EXI79150.1	GO:0004108
KFB77946.1	GO:0004108
KPK19984.1	GO:0004108
OFZ97010.1	GO:0004108
PJI38023.1	GO:0004108
WP_011158456.1	GO:0004108
WP_012204342.1	GO:0004108
WP_028995009.1	GO:0004108
WP_075187930.1	GO:0004108
WP_084269874.1	GO:0004108
WP_114401430.1	GO:0004108
WP_121241506.1	GO:0004108
WP_121457279.1	GO:0004108
OYU48789.1	GO:0004160
WP_002931890.1	GO:0004160
WP_011236835.1	GO:0004160
WP_041547671.1	GO:0004160
WP_066882891.1	GO:0004160
WP_126463609.1	GO:0004160
WP_132249930.1	GO:0004160
KFB67736.1	GO:0004332
SCX09618.1	GO:0004332
WP_004271867.1	GO:0004332
WP_011289321.1	GO:0004332
WP_056668985.1	GO:0004332
EXI85937.1	GO:0004553
KFB68016.1	GO:0004553
KFB69642.1	GO:0004553
KFB74183.1	GO:0004553
KFB75670.1	GO:0004553
SBT06169.1	GO:0004553
SBT08608.1	GO:0004553
WP_017871813.1	GO:0004553
WP_136734941.1	GO:0004553
CCL39299.1	GO:0004634
EXI74690.1	GO:0004634
KFB66257.1	GO:0004634
KFB68186.1	GO:0004634
ODT50015.1	GO:0004634
OLC74155.1	GO:0004634
RUQ37377.1	GO:0004634
TKT73400.1	GO:0004634
WP_042422614.1	GO:0004634
WP_048674821.1	GO:0004634
WP_106748256.1	GO:0004634
AJP47391.1	GO:0004812
BBG72354.1	GO:0004812
EAY62807.1	GO:0004812
OGT10716.1	GO:0004812
OJX12888.1	GO:0004812
OYV32593.1	GO:0004812
RTL30820.1	GO:0004812
TAJ78630.1	GO:0004812
WP_011765220.1	GO:0004812
WP_014235783.1	GO:0004812
WP_014238374.1	GO:0004812
WP_015434924.1	GO:0004812
WP_018410904.1	GO:0004812
WP_023398858.1	GO:0004812
WP_026686701.1	GO:0004812
WP_027457591.1	GO:0004812
WP_041099466.1	GO:0004812
WP_043958486.1	GO:0004812
WP_053171628.1	GO:0004812
WP_062537947.1	GO:0004812
WP_079432882.1	GO:0004812
WP_079433563.1	GO:0004812
WP_079435811.1	GO:0004812
WP_079435984.1	GO:0004812
WP_079436653.1	GO:0004812
WP_079436935.1	GO:0004812
WP_079437052.1	GO:0004812
WP_091962975.1	GO:0004812
WP_110526395.1	GO:0004812
WP_110528740.1	GO:0004812
WP_120997741.1	GO:0004812
WP_121459426.1	GO:0004812
WP_126446303.1	GO:0004812
AZO53005.1	GO:0005886
WP_008598381.1	GO:0005886
WP_012204065.1	GO:0005886
WP_036484010.1	GO:0005886
WP_067954662.1	GO:0005886
EIL97467.1	GO:0005975
EXI85937.1	GO:0005975
EXI88745.1	GO:0005975
EXI89764.1	GO:0005975
KFB67715.1	GO:0005975
KFB67736.1	GO:0005975
KFB68016.1	GO:0005975
KFB69642.1	GO:0005975
KFB71876.1	GO:0005975
KFB72879.1	GO:0005975
KFB75668.1	GO:0005975
KFB77235.1	GO:0005975
KFB77754.1	GO:0005975
KFB77939.1	GO:0005975
OJU29200.1	GO:0005975
PKO83985.1	GO:0005975
SCX09618.1	GO:0005975
WP_000813006.1	GO:0005975
WP_011289321.1	GO:0005975
WP_017871813.1	GO:0005975
WP_028500682.1	GO:0005975
WP_056668985.1	GO:0005975
WP_071810841.1	GO:0005975
WP_087686425.1	GO:0005975
WP_136734941.1	GO:0005975
EXI89332.1	GO:0006090
EXI93095.1	GO:0006090
KFB70585.1	GO:0006090
KFB76033.1	GO:0006090
OGU32972.1	GO:0006090
SBT04026.1	GO:0006090
WP_016447601.1	GO:0006090
WP_025426208.1	GO:0006090
WP_027458585.1	GO:0006090
WP_104799308.1	GO:0006090
WP_111458653.1	GO:0006090
WP_119718228.1	GO:0006090
WP_133587362.1	GO:0006090
CCL39299.1	GO:0006096
EXI69339.1	GO:0006096
EXI74690.1	GO:0006096
KFB66257.1	GO:0006096
KFB67736.1	GO:0006096
KFB68186.1	GO:0006096
KFB75500.1	GO:0006096
KFB76430.1	GO:0006096
KFB76976.1	GO:0006096
ODT50015.1	GO:0006096
OLC74155.1	GO:0006096
PSR11473.1	GO:0006096
RUQ37377.1	GO:0006096
SCX09618.1	GO:0006096
TKT73400.1	GO:0006096
WP_011289321.1	GO:0006096
WP_042422614.1	GO:0006096
WP_048674821.1	GO:0006096
WP_056668985.1	GO:0006096
WP_106748256.1	GO:0006096
WP_132954529.1	GO:0006096
AAF84777.1	GO:0006164
AKJ29192.1	GO:0006164
KFB67410.1	GO:0006164
OHC66337.1	GO:0006164
WP_027458528.1	GO:0006164
WP_050415580.1	GO:0006164
WP_079432965.1	GO:0006164
WP_079434945.1	GO:0006164
AJP47391.1	GO:0006418
BBG72354.1	GO:0006418
EAY62807.1	GO:0006418
OGW39046.1	GO:0006418
OJX12888.1	GO:0006418
OYV32593.1	GO:0006418
RTL28737.1	GO:0006418
RTL30820.1	GO:0006418
TAJ78630.1	GO:0006418
WP_011765220.1	GO:0006418
WP_014235783.1	GO:0006418
WP_015434924.1	GO:0006418
WP_018410904.1	GO:0006418
WP_023398858.1	GO:0006418
WP_026686701.1	GO:0006418
WP_027457591.1	GO:0006418
WP_041099466.1	GO:0006418
WP_043958486.1	GO:0006418
WP_053171628.1	GO:0006418
WP_062537947.1	GO:0006418
WP_079432882.1	GO:0006418
WP_079433563.1	GO:0006418
WP_079435811.1	GO:0006418
WP_079435984.1	GO:0006418
WP_079436653.1	GO:0006418
WP_079436935.1	GO:0006418
WP_079437052.1	GO:0006418
WP_091962975.1	GO:0006418
WP_099407460.1	GO:0006418
WP_110526395.1	GO:0006418
WP_110528740.1	GO:0006418
WP_120997741.1	GO:0006418
ABB07102.1	GO:0006537
KFB78215.1	GO:0006537
PHY03308.1	GO:0006537
RTL38248.1	GO:0006537
WP_011285986.1	GO:0006537
WP_015768580.1	GO:0006537
WP_028453473.1	GO:0006537
WP_050417645.1	GO:0006537
WP_079434405.1	GO:0006537
WP_079434406.1	GO:0006537
WP_100265336.1	GO:0006537
WP_102245658.1	GO:0006537
WP_130459456.1	GO:0006537
AND68027.1	GO:0008137
BBD77440.1	GO:0008137
ODS60244.1	GO:0008137
PKO82142.1	GO:0008137
RTL25836.1	GO:0008137
RTL33295.1	GO:0008137
WP_027456248.1	GO:0008137
WP_028994587.1	GO:0008137
WP_079433698.1	GO:0008137
WP_084523234.1	GO:0008137
WP_109041271.1	GO:0008137
WP_116497214.1	GO:0008137
WP_121429601.1	GO:0008137
BBG74083.1	GO:0008940
KFB69440.1	GO:0008940
ODS71062.1	GO:0008940
OJY87033.1	GO:0008940
PKO85107.1	GO:0008940
RTL04036.1	GO:0008940
RUQ40370.1	GO:0008940
STP13002.1	GO:0008940
WP_004301710.1	GO:0008940
WP_012203041.1	GO:0008940
WP_012585584.1	GO:0008940
WP_015433959.1	GO:0008940
WP_020564490.1	GO:0008940
WP_021249830.1	GO:0008940
WP_043820335.1	GO:0008940
WP_056197883.1	GO:0008940
WP_070987526.1	GO:0008940
WP_087648738.1	GO:0008940
WP_090018893.1	GO:0008940
WP_110258092.1	GO:0008940
WP_121457220.1	GO:0008940
WP_132542637.1	GO:0008940
KXJ49292.1	GO:0009086
OIP18259.1	GO:0009086
RTL28834.1	GO:0009086
TEX46077.1	GO:0009086
WP_054622354.1	GO:0009086
WP_066883726.1	GO:0009086
WP_081146484.1	GO:0009086
WP_133610831.1	GO:0009086
BBG74083.1	GO:0009325
KFB69440.1	GO:0009325
ODS71062.1	GO:0009325
OJY87033.1	GO:0009325
RTL04036.1	GO:0009325
RUQ40370.1	GO:0009325
WP_004301710.1	GO:0009325
WP_012203041.1	GO:0009325
WP_012585584.1	GO:0009325
WP_020564490.1	GO:0009325
WP_043820335.1	GO:0009325
WP_056197883.1	GO:0009325
WP_070987526.1	GO:0009325
WP_087648738.1	GO:0009325
WP_090018893.1	GO:0009325
WP_110258092.1	GO:0009325
WP_132542637.1	GO:0009325
KFB77167.1	GO:0009678
ODT53893.1	GO:0009678
OQW70483.1	GO:0009678
WP_027459158.1	GO:0009678
WP_066884054.1	GO:0009678
WP_074708295.1	GO:0009678
WP_092933185.1	GO:0009678
WP_106748051.1	GO:0009678
WP_136383560.1	GO:0009678
KFB78215.1	GO:0015930
PHY03308.1	GO:0015930
WP_011285986.1	GO:0015930
WP_050417645.1	GO:0015930
WP_079434406.1	GO:0015930
WP_100265336.1	GO:0015930
WP_102245658.1	GO:0015930
WP_130459456.1	GO:0015930
EXI67290.1	GO:0016208
EXI90485.1	GO:0016208
KER84787.1	GO:0016208
KFB77558.1	GO:0016208
OHC63200.1	GO:0016208
OYX42542.1	GO:0016208
RYF73834.1	GO:0016208
TEX48162.1	GO:0016208
WP_011287385.1	GO:0016208
WP_011785686.1	GO:0016208
WP_016445177.1	GO:0016208
WP_038212960.1	GO:0016208
WP_056321934.1	GO:0016208
WP_056881558.1	GO:0016208
WP_107729813.1	GO:0016208
WP_113039516.1	GO:0016208
WP_130433995.1	GO:0016208
WP_133591291.1	GO:0016208
KFB75060.1	GO:0016625
KXK04281.1	GO:0016625
WP_019227724.1	GO:0016625
WP_029000732.1	GO:0016625
WP_029526790.1	GO:0016625
WP_066885384.1	GO:0016625
WP_079433894.1	GO:0016625
KFB78215.1	GO:0016638
PHY03308.1	GO:0016638
WP_011285986.1	GO:0016638
WP_050417645.1	GO:0016638
WP_079434406.1	GO:0016638
WP_100265336.1	GO:0016638
WP_102245658.1	GO:0016638
WP_130459456.1	GO:0016638
OQW83199.1	GO:0016639
RTL38248.1	GO:0016639
WP_004342699.1	GO:0016639
WP_015768580.1	GO:0016639
WP_028453473.1	GO:0016639
WP_079434405.1	GO:0016639
CDH47611.1	GO:0018454
EXI90689.1	GO:0018454
KFB74895.1	GO:0018454
OHC72288.1	GO:0018454
OJX17264.1	GO:0018454
PKP68941.1	GO:0018454
PZQ52337.1	GO:0018454
RPJ44264.1	GO:0018454
RTK98005.1	GO:0018454
RYF80491.1	GO:0018454
TEX48147.1	GO:0018454
WP_008121844.1	GO:0018454
WP_048670196.1	GO:0018454
WP_062590256.1	GO:0018454
WP_124219361.1	GO:0018454
WP_137098281.1	GO:0018454
EXI67290.1	GO:0019427
EXI90485.1	GO:0019427
KER84787.1	GO:0019427
KFB77558.1	GO:0019427
OHC63200.1	GO:0019427
OYX42542.1	GO:0019427
RYF73834.1	GO:0019427
TEX48162.1	GO:0019427
WP_011287385.1	GO:0019427
WP_011785686.1	GO:0019427
WP_016445177.1	GO:0019427
WP_038212960.1	GO:0019427
WP_056321934.1	GO:0019427
WP_056881558.1	GO:0019427
WP_107729813.1	GO:0019427
WP_113039516.1	GO:0019427
WP_130433995.1	GO:0019427
WP_133591291.1	GO:0019427
EXI66302.1	GO:0034220
EXI88854.1	GO:0034220
KFB66912.1	GO:0034220
KFB73572.1	GO:0034220
ODU09449.1	GO:0034220
RTL02468.1	GO:0034220
RTL02469.1	GO:0034220
WP_004908491.1	GO:0034220
WP_015765720.1	GO:0034220
WP_069039407.1	GO:0034220
WP_083522852.1	GO:0034220
BBG74083.1	GO:0042126
KFB69440.1	GO:0042126
ODS71062.1	GO:0042126
OJY87033.1	GO:0042126
RTL04036.1	GO:0042126
RUQ40370.1	GO:0042126
WP_004301710.1	GO:0042126
WP_012203041.1	GO:0042126
WP_012585584.1	GO:0042126
WP_020564490.1	GO:0042126
WP_043820335.1	GO:0042126
WP_056197883.1	GO:0042126
WP_070987526.1	GO:0042126
WP_087648738.1	GO:0042126
WP_090018893.1	GO:0042126
WP_110258092.1	GO:0042126
WP_132542637.1	GO:0042126
OFZ84184.1	GO:0042773
PKO82142.1	GO:0042773
RTL25836.1	GO:0042773
WP_027456248.1	GO:0042773
WP_028994587.1	GO:0042773
WP_041098133.1	GO:0042773
WP_084523234.1	GO:0042773
WP_109041271.1	GO:0042773
WP_121429601.1	GO:0042773
WP_136346322.1	GO:0042773
EXI79150.1	GO:0046912
KFB77946.1	GO:0046912
KPK19984.1	GO:0046912
OFZ97010.1	GO:0046912
PJI38023.1	GO:0046912
WP_011158456.1	GO:0046912
WP_012204342.1	GO:0046912
WP_028995009.1	GO:0046912
WP_075187930.1	GO:0046912
WP_084269874.1	GO:0046912
WP_101944400.1	GO:0046912
WP_114401430.1	GO:0046912
WP_121241506.1	GO:0046912
WP_121457279.1	GO:0046912
KXS32231.1	GO:0071949
RTL33733.1	GO:0071949
WP_031346030.1	GO:0071949
WP_076097457.1	GO:0071949
WP_101940445.1	GO:0071949
WP_103704738.1	GO:0071949
WP_136385959.1	GO:0071949
CDH47611.1	K00023
EXI90689.1	K00023
KFB74895.1	K00023
OHC72288.1	K00023
OJX17264.1	K00023
PKP68941.1	K00023
PZQ52337.1	K00023
RPJ44264.1	K00023
RTK98005.1	K00023
RYF80491.1	K00023
TEX48147.1	K00023
WP_008121844.1	K00023
WP_048670196.1	K00023
WP_062590256.1	K00023
WP_124219361.1	K00023
WP_137098281.1	K00023
EIL97467.1	K00024
KFB77939.1	K00024
OJU29200.1	K00024
PKO83985.1	K00024
WP_000813006.1	K00024
WP_028500682.1	K00024
WP_011285986.1	K00265
WP_050417645.1	K00265
WP_079434406.1	K00265
WP_100265336.1	K00265
WP_102245658.1	K00265
WP_130459456.1	K00265
ODS71062.1	K00370
OJY87033.1	K00370
OYT25237.1	K00370
RTL04036.1	K00370
WP_012585584.1	K00370
WP_043820335.1	K00370
WP_056197883.1	K00370
WP_090018893.1	K00370
AHA36497.1	K00371
BBG74083.1	K00371
KFB69440.1	K00371
RUQ40370.1	K00371
WP_004301710.1	K00371
WP_011397794.1	K00371
WP_012203041.1	K00371
WP_020564490.1	K00371
WP_070987526.1	K00371
WP_087648738.1	K00371
WP_110258092.1	K00371
WP_132542637.1	K00371
KFB67736.1	K01624
SCX09618.1	K01624
WP_011289321.1	K01624
WP_056668985.1	K01624
EXI79150.1	K01647
KFB77946.1	K01647
KPK19984.1	K01647
OFZ97010.1	K01647
PJI38023.1	K01647
WP_011158456.1	K01647
WP_012204342.1	K01647
WP_028995009.1	K01647
WP_075187930.1	K01647
WP_084269874.1	K01647
WP_114401430.1	K01647
WP_121241506.1	K01647
WP_121457279.1	K01647
OYU48789.1	K01687
WP_002931890.1	K01687
WP_011236835.1	K01687
WP_041547671.1	K01687
WP_066882891.1	K01687
WP_126463609.1	K01687
WP_132249930.1	K01687
CCL39299.1	K01689
EXI74690.1	K01689
