protein	ontology
WP_106750670.1	1MV5T
ODS68942.1	1MVB9
ODU88478.1	1MVB9
OJX25964.1	1MVB9
PZP29908.1	1MVB9
RZL03004.1	1MVB9
WP_049725106.1	1MVB9
WP_062353565.1	1MVB9
WP_066879881.1	1MVB9
WP_106749718.1	1MVB9
WP_121459553.1	1MVB9
WP_124539589.1	1MVB9
WP_129350806.1	1MVB9
EXI86266.1	1MVE2
EXI91054.1	1MVE2
KFB67261.1	1MVE2
KFB70730.1	1MVE2
KFB73888.1	1MVE2
KFB77543.1	1MVE2
TAH13192.1	1MVE2
TAH50053.1	1MVE2
ABU62770.1	1MVIH
ADR31672.1	1MVIH
AHB18470.1	1MVIH
ALB05717.1	1MVIH
AMA33369.1	1MVIH
AMA33374.1	1MVIH
CCG96484.1	1MVIH
EXI67863.1	1MVIH
PKO48724.1	1MVIH
PLX75252.1	1MVIH
PWB55871.1	1MVIH
RZJ15583.1	1MVIH
SMB26997.1	1MVIH
TAM43965.1	1MVIH
TEX48121.1	1MVIH
WP_004305194.1	1MVIH
WP_014428125.1	1MVIH
WP_026781577.1	1MVIH
WP_043742265.1	1MVIH
WP_066155737.1	1MVIH
WP_088178900.1	1MVIH
WP_110523532.1	1MVIH
KFB75157.1	1MVIN
KPK35597.1	1MVIN
RIK98775.1	1MVIN
WP_013205653.1	1MVIN
WP_014238062.1	1MVIN
WP_015436667.1	1MVIN
WP_096452407.1	1MVIN
OGT55153.1	1MVTD
PLX71774.1	1MVTD
RFC34779.1	1MVTD
RTL25783.1	1MVTD
WP_012202332.1	1MVTD
WP_028994187.1	1MVTD
WP_069039303.1	1MVTD
RTL28259.1	1MVW2
WP_011288938.1	1MVW2
WP_038361093.1	1MVW2
WP_055936105.1	1MVW2
WP_092615691.1	1MVW2
WP_114804109.1	1MVW2
OGU52319.1	1MVW7
OJW50879.1	1MVW7
PKO33943.1	1MVW7
RZI44785.1	1MVW7
WP_056875887.1	1MVW7
WP_079435047.1	1MVW7
WP_102041370.1	1MVW7
WP_135247737.1	1MVW7
AAM62210.1	1MW9S
ODS71062.1	1MW9S
OJY87033.1	1MW9S
RTL04036.1	1MW9S
RTL46920.1	1MW9S
WP_012585584.1	1MW9S
WP_027457213.1	1MW9S
WP_054965449.1	1MW9S
WP_056197883.1	1MW9S
OJW52383.1	1MWUN
WP_012202656.1	1MWUN
WP_012207751.1	1MWUN
WP_020163549.1	1MWUN
WP_046238786.1	1MWUN
ABP33218.1	1N3PN
ACF98171.1	1N3PN
AEJ89829.1	1N3PN
AEL12490.1	1N3PN
AHZ56225.1	1N3PN
AQF57581.1	1N3PN
ATG72135.1	1N3PN
ATG85284.1	1N3PN
BAR46710.1	1N3PN
EXI73901.1	1N3PN
EXI86426.1	1N3PN
EXI90076.1	1N3PN
KFB69436.1	1N3PN
ODU56528.1	1N3PN
OGA45015.1	1N3PN
OHC61306.1	1N3PN
PKO56461.1	1N3PN
RMG33618.1	1N3PN
TAK48549.1	1N3PN
WP_004301737.1	1N3PN
WP_018151794.1	1N3PN
WP_050417154.1	1N3PN
WP_056876288.1	1N3PN
WP_057674903.1	1N3PN
WP_068491810.1	1N3PN
WP_076096509.1	1N3PN
WP_079435145.1	1N3PN
WP_086912295.1	1N3PN
WP_108977384.1	1N3PN
WP_119107391.1	1N3PN
WP_119964852.1	1N3PN
WP_133588295.1	1N3PN
ACV34416.1	1N6EM
EXI89540.1	1N6EM
EXI89542.1	1N6EM
EXI92924.1	1N6EM
GAM98908.1	1N6EM
KFB66372.1	1N6EM
KFB66374.1	1N6EM
KFB71000.1	1N6EM
KFB73466.1	1N6EM
KFB75399.1	1N6EM
RTL03953.1	1N6EM
WP_004252965.1	1N6EM
WP_004303499.1	1N6EM
WP_008062595.1	1N6EM
WP_019919114.1	1N6EM
WP_026685518.1	1N6EM
WP_053419840.1	1N6EM
WP_066767450.1	1N6EM
WP_088442703.1	1N6EM
WP_110524092.1	1N6EM
WP_128196787.1	1N6EM
PKO26483.1	1R9YZ
RTL34219.1	1R9YZ
WP_013804444.1	1R9YZ
WP_027456663.1	1R9YZ
WP_035933059.1	1R9YZ
WP_090319415.1	1R9YZ
WP_096449278.1	1R9YZ
WP_099407143.1	1R9YZ
EXI66301.1	1RB94
EXI88854.1	1RB94
EXI88855.1	1RB94
KFB66910.1	1RB94
KFB66912.1	1RB94
KFB73571.1	1RB94
KFB73572.1	1RB94
KFB78005.1	1RB94
SBT07161.1	1RB94
WP_015765720.1	1RB94
ODU57472.1	2TQP8
OJX70055.1	2TQP8
OPH17454.1	2TQP8
RYE05967.1	2TQP8
TJW70054.1	2TQP8
WP_034743456.1	2TQP8
WP_093509984.1	2TQP8
WP_115934849.1	2TQP8
ODU26809.1	2TRGP
PJI39783.1	2TRGP
RPF77145.1	2TRGP
TIT88042.1	2TRGP
WP_115978808.1	2TRGP
CDH47611.1	2VH8R
KFB74895.1	2VH8R
OHC72288.1	2VH8R
OJX17264.1	2VH8R
RYF80491.1	2VH8R
TAK80989.1	2VH8R
TEX48147.1	2VH8R
WP_004266007.1	2VH8R
WP_014237572.1	2VH8R
KNZ34458.1	2VH91
OFZ96113.1	2VH91
OGA63255.1	2VH91
WP_088812016.1	2VH91
WP_094267892.1	2VH91
WP_107491793.1	2VH91
WP_125244194.1	2VH91
WP_133594294.1	2VH91
EYU06092.1	2VHKE
OJX35469.1	2VHKE
WP_079436222.1	2VHKE
WP_084019513.1	2VHKE
WP_104801476.1	2VHKE
EXI68687.1	2VHM6
EXI84649.1	2VHM6
KFB68258.1	2VHM6
KFB74359.1	2VHM6
WP_008059639.1	2VHM6
WP_014237270.1	2VHM6
WP_028456103.1	2VHM6
WP_107492948.1	2VHM6
ABP33218.1	2VHSF
ACF98171.1	2VHSF
AEJ89829.1	2VHSF
AEL12490.1	2VHSF
AHZ56225.1	2VHSF
ATG72135.1	2VHSF
ATG85284.1	2VHSF
BAR46710.1	2VHSF
EXI73901.1	2VHSF
EXI86426.1	2VHSF
EXI90076.1	2VHSF
KFB69436.1	2VHSF
ODU56528.1	2VHSF
OGA45015.1	2VHSF
OHC61306.1	2VHSF
PKO56461.1	2VHSF
RMG33618.1	2VHSF
TAK48549.1	2VHSF
WP_004301737.1	2VHSF
WP_018151794.1	2VHSF
WP_056876288.1	2VHSF
WP_057674903.1	2VHSF
WP_076096509.1	2VHSF
WP_079435145.1	2VHSF
WP_086912295.1	2VHSF
WP_108977384.1	2VHSF
WP_119107391.1	2VHSF
WP_119964852.1	2VHSF
WP_133588295.1	2VHSF
ODS68942.1	2VI1P
ODU88478.1	2VI1P
OJX25964.1	2VI1P
PZP29908.1	2VI1P
RZL03004.1	2VI1P
WP_066879881.1	2VI1P
WP_121459553.1	2VI1P
WP_124539589.1	2VI1P
OGU52319.1	2VI2M
OJW50879.1	2VI2M
PKO33943.1	2VI2M
RZI44785.1	2VI2M
WP_056875887.1	2VI2M
WP_079435047.1	2VI2M
WP_102041370.1	2VI2M
WP_135247737.1	2VI2M
OIP11335.1	2VI3Q
PKO29730.1	2VI3Q
TAG83693.1	2VI3Q
WP_004343146.1	2VI3Q
WP_012202327.1	2VI3Q
WP_016453856.1	2VI3Q
WP_067758259.1	2VI3Q
WP_076604510.1	2VI3Q
WP_106825664.1	2VI3Q
WP_136555888.1	2VI3Q
OHC65946.1	2VIQR
RTL15944.1	2VIQR
RTL36445.1	2VIQR
WP_011286820.1	2VIQR
WP_011483958.1	2VIQR
WP_027457926.1	2VIQR
WP_088484363.1	2VIQR
OGA06426.1	2VIW1
OGA25275.1	2VIW1
PKO45489.1	2VIW1
WP_008115203.1	2VIW1
WP_012207458.1	2VIW1
WP_013744694.1	2VIW1
WP_015434519.1	2VIW1
WP_027456623.1	2VIW1
WP_027473956.1	2VIW1
WP_067170571.1	2VIW1
WP_102246209.1	2VIW1
WP_102648302.1	2VIW1
WP_124649802.1	2VIW1
WP_133857735.1	2VIW1
WP_134195739.1	2VIW1
EXI89540.1	2VM27
EXI89542.1	2VM27
EXI92924.1	2VM27
KFB66372.1	2VM27
KFB66374.1	2VM27
KFB71000.1	2VM27
KFB73466.1	2VM27
KFB75399.1	2VM27
RTL03953.1	2VM27
WP_004252965.1	2VM27
WP_004303499.1	2VM27
WP_019919114.1	2VM27
WP_026685518.1	2VM27
WP_053419840.1	2VM27
WP_110524092.1	2VM27
WP_128196787.1	2VM27
ABU62770.1	2VM8J
ADR31672.1	2VM8J
AHB18470.1	2VM8J
ALB05717.1	2VM8J
AMA33369.1	2VM8J
AMA33374.1	2VM8J
EXI67863.1	2VM8J
PKO48724.1	2VM8J
PLX75252.1	2VM8J
PWB55871.1	2VM8J
RZJ15583.1	2VM8J
SMB26997.1	2VM8J
TAM43965.1	2VM8J
TEX48121.1	2VM8J
WP_004305194.1	2VM8J
WP_014428125.1	2VM8J
WP_026781577.1	2VM8J
WP_043742265.1	2VM8J
WP_066155737.1	2VM8J
WP_088178900.1	2VM8J
WP_110523532.1	2VM8J
PKO26483.1	2VQ4W
RTL34219.1	2VQ4W
WP_013804444.1	2VQ4W
WP_027456663.1	2VQ4W
WP_035933059.1	2VQ4W
WP_090319415.1	2VQ4W
WP_096449278.1	2VQ4W
WP_099407143.1	2VQ4W
ADO63651.1	COG0050
CUR08644.1	COG0050
EQB64020.1	COG0050
KIF34349.1	COG0050
KKR79619.1	COG0050
KRP10551.1	COG0050
ODU57472.1	COG0050
OJU73943.1	COG0050
OJX70055.1	COG0050
OPH17454.1	COG0050
OYW19306.1	COG0050
OYZ00001.1	COG0050
PID31983.1	COG0050
PTM19938.1	COG0050
RJT43053.1	COG0050
RKZ91889.1	COG0050
RYE05967.1	COG0050
RYY12747.1	COG0050
SDH58430.1	COG0050
TAK66595.1	COG0050
TAN86363.1	COG0050
TJW70054.1	COG0050
WP_005483729.1	COG0050
WP_019372615.1	COG0050
WP_026770526.1	COG0050
WP_027456679.1	COG0050
WP_027469922.1	COG0050
WP_034743456.1	COG0050
WP_039438947.1	COG0050
WP_053281820.1	COG0050
WP_053322368.1	COG0050
WP_056069295.1	COG0050
WP_057297243.1	COG0050
WP_062352460.1	COG0050
WP_076091607.1	COG0050
WP_076501246.1	COG0050
WP_077239469.1	COG0050
WP_092280200.1	COG0050
WP_093509984.1	COG0050
WP_108360503.1	COG0050
WP_114114452.1	COG0050
WP_114692163.1	COG0050
WP_115723606.1	COG0050
WP_115934849.1	COG0050
WP_116846679.1	COG0050
WP_122890902.1	COG0050
WP_126170335.1	COG0050
WP_126831844.1	COG0050
WP_133797155.1	COG0050
OJW50010.1	COG0052
OQW81897.1	COG0052
RTL31940.1	COG0052
WP_012206747.1	COG0052
WP_062354893.1	COG0052
WP_121457190.1	COG0052
OGT55153.1	COG0090
PLX71774.1	COG0090
RFC34779.1	COG0090
RTL25783.1	COG0090
WP_012202332.1	COG0090
WP_028994187.1	COG0090
WP_069039303.1	COG0090
OAI54434.1	COG0097
PKO26483.1	COG0097
RTL34219.1	COG0097
WP_013804444.1	COG0097
WP_027456663.1	COG0097
WP_035933059.1	COG0097
WP_090319415.1	COG0097
WP_096449278.1	COG0097
WP_099407143.1	COG0097
RDE50182.1	COG0129
WP_002931890.1	COG0129
WP_004721665.1	COG0129
WP_011236835.1	COG0129
WP_066882891.1	COG0129
WP_132249930.1	COG0129
EXI74690.1	COG0148
EXI86829.1	COG0148
KFB66257.1	COG0148
KFB68186.1	COG0148
OLL99361.1	COG0148
PKO71921.1	COG0148
RUQ37377.1	COG0148
WP_048674821.1	COG0148
WP_084055521.1	COG0148
ODV10150.1	COG0174
OGT58397.1	COG0174
OIP10589.1	COG0174
RIK93028.1	COG0174
RTL29411.1	COG0174
RTL40888.1	COG0174
TEX46275.1	COG0174
WP_018409825.1	COG0174
WP_036248493.1	COG0174
WP_041096173.1	COG0174
WP_041322195.1	COG0174
WP_062356736.1	COG0174
WP_105531610.1	COG0174
WP_137101029.1	COG0174
PKO29577.1	COG0202
PZN48639.1	COG0202
PZR41209.1	COG0202
WP_079432672.1	COG0202
WP_090371808.1	COG0202
WP_103168546.1	COG0202
WP_120971754.1	COG0202
WP_121240662.1	COG0202
EXI68690.1	COG0372
EXI79150.1	COG0372
KFB68261.1	COG0372
KFB77946.1	COG0372
KPK19984.1	COG0372
PJI38023.1	COG0372
TAH41053.1	COG0372
TAK91950.1	COG0372
WP_004361350.1	COG0372
WP_007866641.1	COG0372
WP_011158456.1	COG0372
WP_011288588.1	COG0372
WP_028995009.1	COG0372
WP_068082899.1	COG0372
WP_075187930.1	COG0372
WP_084269874.1	COG0372
WP_090702123.1	COG0372
WP_108176835.1	COG0372
WP_114401430.1	COG0372
WP_117609045.1	COG0372
WP_121457279.1	COG0372
WP_133314182.1	COG0372
OGA06426.1	COG0459
OGA25275.1	COG0459
OGW20020.1	COG0459
PKO45489.1	COG0459
PYS86129.1	COG0459
RYD42434.1	COG0459
WP_008115203.1	COG0459
WP_012207458.1	COG0459
WP_013744694.1	COG0459
WP_014074409.1	COG0459
WP_015434519.1	COG0459
WP_027456623.1	COG0459
WP_027473956.1	COG0459
WP_034795833.1	COG0459
WP_038304811.1	COG0459
WP_062352942.1	COG0459
WP_067170571.1	COG0459
WP_079686058.1	COG0459
WP_102246209.1	COG0459
WP_102648302.1	COG0459
WP_120048763.1	COG0459
WP_121583815.1	COG0459
WP_124649802.1	COG0459
WP_127089458.1	COG0459
WP_127255656.1	COG0459
WP_133857735.1	COG0459
WP_134195739.1	COG0459
WP_137099209.1	COG0459
KPK32466.1	COG0480
OHC66784.1	COG0480
OIP11335.1	COG0480
PJI37961.1	COG0480
PKO29730.1	COG0480
RMG26781.1	COG0480
RTL27389.1	COG0480
TAG83693.1	COG0480
WP_004343146.1	COG0480
WP_011463684.1	COG0480
WP_012202327.1	COG0480
WP_016453856.1	COG0480
WP_043946424.1	COG0480
WP_067758259.1	COG0480
WP_076604510.1	COG0480
WP_106748007.1	COG0480
WP_106825664.1	COG0480
WP_136555888.1	COG0480
OGB48659.1	COG0499
TAD90173.1	COG0499
WP_013506879.1	COG0499
WP_020205948.1	COG0499
WP_062358397.1	COG0499
WP_062626449.1	COG0499
WP_088534965.1	COG0499
WP_107494321.1	COG0499
WP_129219830.1	COG0499
BBG74039.1	COG0542
PZP62061.1	COG0542
RFM23946.1	COG0542
RTL42036.1	COG0542
RUQ40581.1	COG0542
RZL00001.1	COG0542
SBW00644.1	COG0542
SOO28904.1	COG0542
WP_003052325.1	COG0542
WP_010103166.1	COG0542
WP_011288455.1	COG0542
WP_012207006.1	COG0542
WP_012353056.1	COG0542
WP_021006548.1	COG0542
WP_035930530.1	COG0542
WP_062188045.1	COG0542
WP_079433358.1	COG0542
WP_091909339.1	COG0542
WP_093558235.1	COG0542
WP_132773508.1	COG0542
RTL28259.1	COG0605
WP_011288938.1	COG0605
WP_038361093.1	COG0605
WP_055936105.1	COG0605
WP_092615691.1	COG0605
WP_114804109.1	COG0605
WP_129130376.1	COG0605
KFB75157.1	COG0649
KPK35597.1	COG0649
RIK98775.1	COG0649
WP_013205653.1	COG0649
WP_014238062.1	COG0649
WP_015436667.1	COG0649
WP_096452407.1	COG0649
ABF52527.1	COG0811
KXK27170.1	COG0811
OJV55238.1	COG0811
PZN51362.1	COG0811
PZQ27409.1	COG0811
RTL38629.1	COG0811
WP_011286880.1	COG0811
EXI67162.1	COG0840
KFB67348.1	COG0840
KFB73615.1	COG0840
KFB75295.1	COG0840
KFB75506.1	COG0840
KFB76159.1	COG0840
OQW49172.1	COG0840
RTL32463.1	COG0840
RTL40429.1	COG0840
SBT05777.1	COG0840
WP_011286327.1	COG0840
WP_011289619.1	COG0840
WP_057687147.1	COG0840
WP_066884201.1	COG0840
WP_079436695.1	COG0840
CDH47611.1	COG1028
KFB74895.1	COG1028
KFB77420.1	COG1028
OGB18647.1	COG1028
OHC72288.1	COG1028
OJX17264.1	COG1028
PKO83537.1	COG1028
PKP68941.1	COG1028
PPR64223.1	COG1028
RTK98005.1	COG1028
RYF80491.1	COG1028
TAK80989.1	COG1028
TEX48147.1	COG1028
WP_004259356.1	COG1028
WP_004266007.1	COG1028
WP_014237572.1	COG1028
WP_034994456.1	COG1028
WP_055423698.1	COG1028
WP_062590256.1	COG1028
WP_106747191.1	COG1028
WP_137098281.1	COG1028
EXI68687.1	COG1053
EXI84649.1	COG1053
KFB68258.1	COG1053
KFB74359.1	COG1053
KFB76906.1	COG1053
PCJ60658.1	COG1053
WP_008059639.1	COG1053
WP_014237270.1	COG1053
WP_028456103.1	COG1053
WP_089883054.1	COG1053
WP_107492948.1	COG1053
KNZ34458.1	COG1104
OFZ96113.1	COG1104
OGA63255.1	COG1104
PCI65220.1	COG1104
PHQ58449.1	COG1104
PKO89627.1	COG1104
WP_005160809.1	COG1104
WP_035608057.1	COG1104
WP_079433534.1	COG1104
WP_088812016.1	COG1104
WP_094267892.1	COG1104
WP_107491793.1	COG1104
WP_119632423.1	COG1104
WP_125244194.1	COG1104
WP_133594294.1	COG1104
BBG74083.1	COG1140
KFB69440.1	COG1140
TAL86698.1	COG1140
WP_004301710.1	COG1140
WP_011397794.1	COG1140
WP_012203041.1	COG1140
WP_020564490.1	COG1140
WP_070987526.1	COG1140
WP_087648738.1	COG1140
WP_110258092.1	COG1140
WP_121428012.1	COG1140
WP_132542637.1	COG1140
ODS68942.1	COG1185
ODU88478.1	COG1185
OJX25964.1	COG1185
PZP29908.1	COG1185
RZL03004.1	COG1185
WP_049725106.1	COG1185
WP_062353565.1	COG1185
WP_066879881.1	COG1185
WP_106749718.1	COG1185
WP_121459553.1	COG1185
WP_124539589.1	COG1185
WP_129350806.1	COG1185
EXI86345.1	COG1392
EXI90708.1	COG1392
KFB67540.1	COG1392
KFB71158.1	COG1392
KFB71918.1	COG1392
KFB74231.1	COG1392
KFB75089.1	COG1392
KFB75091.1	COG1392
RDE52272.1	COG1392
KFB67271.1	COG1538
OJW28870.1	COG1538
OYY63427.1	COG1538
PAW66675.1	COG1538
PKO38843.1	COG1538
PKO64177.1	COG1538
PKO84695.1	COG1538
RIX44190.1	COG1538
RIX44650.1	COG1538
WP_012203020.1	COG1538
WP_012204759.1	COG1538
WP_012806080.1	COG1538
WP_014237668.1	COG1538
WP_046238507.1	COG1538
WP_062357321.1	COG1538
WP_068173169.1	COG1538
WP_079434731.1	COG1538
WP_079436202.1	COG1538
WP_079436223.1	COG1538
WP_082151508.1	COG1538
WP_084019512.1	COG1538
WP_088179506.1	COG1538
WP_104801475.1	COG1538
OHD08245.1	COG1629
OJW52369.1	COG1629
OYU74710.1	COG1629
OYW07689.1	COG1629
PZN54939.1	COG1629
RZL14329.1	COG1629
TEX44231.1	COG1629
WP_006833718.1	COG1629
WP_039576987.1	COG1629
WP_056197714.1	COG1629
WP_056268488.1	COG1629
WP_062350427.1	COG1629
WP_062351014.1	COG1629
WP_062353236.1	COG1629
WP_062354211.1	COG1629
WP_062358409.1	COG1629
WP_062358567.1	COG1629
WP_062358568.1	COG1629
WP_079433083.1	COG1629
WP_082793271.1	COG1629
WP_083537981.1	COG1629
WP_084019619.1	COG1629
WP_105998867.1	COG1629
WP_119717977.1	COG1629
WP_120217521.1	COG1629
WP_129776187.1	COG1629
OGA32853.1	COG1840
OHC62478.1	COG1840
PKO58144.1	COG1840
PTM61126.1	COG1840
RIX43534.1	COG1840
WP_011286821.1	COG1840
WP_027459002.1	COG1840
WP_066886845.1	COG1840
WP_128903083.1	COG1840
ABP33218.1	COG2010
ACF98171.1	COG2010
AEJ89829.1	COG2010
AEL12490.1	COG2010
AHZ56225.1	COG2010
AQF57581.1	COG2010
ATG72135.1	COG2010
ATG85284.1	COG2010
BAR46710.1	COG2010
EXI73901.1	COG2010
EXI85300.1	COG2010
EXI86426.1	COG2010
EXI90076.1	COG2010
KFB69436.1	COG2010
KFB77698.1	COG2010
OAI45762.1	COG2010
ODU56528.1	COG2010
OGA45015.1	COG2010
OHC61306.1	COG2010
PKO56461.1	COG2010
PKO59819.1	COG2010
RMG33618.1	COG2010
RTL29810.1	COG2010
RTL30765.1	COG2010
RTL40498.1	COG2010
SBT08714.1	COG2010
TAK48549.1	COG2010
WP_004301737.1	COG2010
WP_018151794.1	COG2010
WP_040040698.1	COG2010
WP_050417154.1	COG2010
WP_056876288.1	COG2010
WP_057674903.1	COG2010
WP_068491810.1	COG2010
WP_076096509.1	COG2010
WP_079435145.1	COG2010
WP_086912295.1	COG2010
WP_108977384.1	COG2010
WP_114234547.1	COG2010
WP_119107391.1	COG2010
WP_119964852.1	COG2010
WP_133588295.1	COG2010
EYU06092.1	COG2217
PZR31861.1	COG2217
RYF24492.1	COG2217
WP_079436222.1	COG2217
WP_083281205.1	COG2217
WP_084019513.1	COG2217
WP_088179356.1	COG2217
WP_104801476.1	COG2217
EXI86266.1	COG2326
EXI91054.1	COG2326
KFB67261.1	COG2326
KFB70730.1	COG2326
KFB73888.1	COG2326
KFB77543.1	COG2326
TAH13192.1	COG2326
TAH50053.1	COG2326
OGU52319.1	COG2766
OJW50879.1	COG2766
PKO33943.1	COG2766
RZI44785.1	COG2766
WP_056875887.1	COG2766
WP_079435047.1	COG2766
WP_102041370.1	COG2766
WP_135247737.1	COG2766
EKE09909.1	COG2885
EXI89540.1	COG2885
EXI89542.1	COG2885
EXI92924.1	COG2885
GAM98908.1	COG2885
KFB66372.1	COG2885
KFB66374.1	COG2885
KFB71000.1	COG2885
KFB73466.1	COG2885
KFB75399.1	COG2885
KFB76312.1	COG2885
KFB77167.1	COG2885
KFB77838.1	COG2885
KFB78105.1	COG2885
RTL03953.1	COG2885
WP_004252965.1	COG2885
WP_004303499.1	COG2885
WP_004963936.1	COG2885
WP_012807184.1	COG2885
WP_019919114.1	COG2885
WP_026685518.1	COG2885
WP_053419840.1	COG2885
WP_087012496.1	COG2885
WP_088442703.1	COG2885
WP_088746618.1	COG2885
WP_110524092.1	COG2885
OHD08245.1	COG4771
OJW52369.1	COG4771
OYU74710.1	COG4771
OYW07689.1	COG4771
PZN54939.1	COG4771
SBV34568.1	COG4771
TEX44231.1	COG4771
WP_006833718.1	COG4771
WP_039576987.1	COG4771
WP_056197714.1	COG4771
WP_056268488.1	COG4771
WP_062350427.1	COG4771
WP_062351014.1	COG4771
WP_062353236.1	COG4771
WP_062354211.1	COG4771
WP_062355857.1	COG4771
WP_062358409.1	COG4771
WP_062358567.1	COG4771
