protein	ontology
OIN94067.1	GO:0016787
OYT19536.1	GO:0016787
PYY24654.1	GO:0016787
PZQ27413.1	GO:0016787
WP_028994318.1	GO:0016787
WP_079437051.1	GO:0016787
WP_108179098.1	GO:0016787
WP_121164464.1	GO:0016787
WP_124811251.1	GO:0016787
EYU06092.1	GO:0019829
OJX35469.1	GO:0019829
PZR31861.1	GO:0019829
WP_013803090.1	GO:0019829
WP_079436222.1	GO:0019829
WP_083281205.1	GO:0019829
WP_084019513.1	GO:0019829
WP_089056865.1	GO:0019829
WP_104801476.1	GO:0019829
RIX42988.1	GO:0038023
RTL36445.1	GO:0038023
WP_004374157.1	GO:0038023
WP_005401812.1	GO:0038023
WP_011286820.1	GO:0038023
WP_011485651.1	GO:0038023
WP_027457926.1	GO:0038023
WP_052433592.1	GO:0038023
WP_056667571.1	GO:0038023
WP_072598857.1	GO:0038023
WP_082007526.1	GO:0038023
WP_084651312.1	GO:0038023
WP_094285823.1	GO:0038023
EYU06092.1	K01534
OJX35469.1	K01534
PZR31861.1	K01534
WP_013803090.1	K01534
WP_079436222.1	K01534
WP_083281205.1	K01534
WP_084019513.1	K01534
WP_089056865.1	K01534
WP_104801476.1	K01534
ODU08447.1	K02035
WP_012203170.1	K02035
WP_103720641.1	K02035
WP_108174742.1	K02035
WP_108176493.1	K02035
WP_128230387.1	K02035
EXI84053.1	K02996
KNZ33274.1	K02996
WP_055670085.1	K02996
WP_102041148.1	K02996
WP_111434294.1	K02996
WP_121456722.1	K02996
ABX33534.1	K03594
PZP50757.1	K03594
PZQ20775.1	K03594
TEX44224.1	K03594
WP_012206872.1	K03594
BBB07588.1	K03640
KFB73305.1	K03640
PZQ81723.1	K03640
RIX44016.1	K03640
SFH37731.1	K03640
TEX47728.1	K03640
WP_062357863.1	K03640
WP_079435433.1	K03640
WP_117610020.1	K03640
WP_121580518.1	K03640
KJS19400.1	K17321
WP_009553167.1	K17321
WP_012202962.1	K17321
WP_092298750.1	K17321
WP_117178120.1	K17321
WP_119270944.1	K17321
WP_119751930.1	K17321
WP_133703463.1	K17321
